logFC	logCPM	F	PValue	FDR	feature_id	contrast	FDR_all_three
-0.0760910232900155	3.80552968113249	0.439847691811893	0.512564703904804	0.625674922963334	29819	WT_positive_minus_negative	0.627138624680917
-0.0867544604193754	4.86234407744772	1.25145450910332	0.272684836919655	0.391121719047288	66799	WT_positive_minus_negative	0.390623924076325
0.0239738031259101	4.45943297679761	0.0619577113427914	0.805226422483768	0.867267551599076	67923	WT_positive_minus_negative	0.866167807033819
-0.201441561228776	3.93612055095207	3.45571409534263	0.0734658832291664	0.139678397615996	70397	WT_positive_minus_negative	0.136850062380744
-0.307157457865854	1.29953375878675	0.94861108997874	0.338334502467837	0.45958560293793	17087	WT_positive_minus_negative	0.460337854823602
0.0503356700182382	2.34494566758253	0.0718987849739195	0.79053771618654	0.856225988933409	57339	WT_positive_minus_negative	0.855467851053146
2.8452535347389	3.11031082254426	285.864080718415	2.53823228646896e-16	2.50848485075493e-14	94227	WT_positive_minus_negative	2.6255474771235e-14
0.162132961165991	4.03677659974879	0.776413561142251	0.385666338841951	0.506989656313794	241035	WT_positive_minus_negative	0.50829596071168
0.964622886352912	3.39091543262504	51.4614324938395	7.82173207057587e-08	7.3552724125488e-07	17215	WT_positive_minus_negative	7.7415688798887e-07
-0.184820215547651	7.08716746778294	20.5004721859108	9.87304852392773e-05	0.000450559473227243	74229	WT_positive_minus_negative	0.000453986627177505
0.85121628613184	2.52002119553394	17.9151543479419	0.000220825318679527	0.000922574921242967	71877	WT_positive_minus_negative	0.000921747648178725
0.917211986701288	2.54036039654452	22.7959378670068	5.02019383485727e-05	0.00024572027615661	170829	WT_positive_minus_negative	0.000247778584057827
-0.220445697178712	1.2806523789746	0.634366915491498	0.432394470339532	0.550191290945397	75712	WT_positive_minus_negative	0.552729659069713
0.762745836787699	5.01015609814164	75.6601069820035	1.74444520733076e-09	2.35092961339819e-08	14859	WT_positive_minus_negative	2.59758270987947e-08
2.58089084578329	1.4131653927075	93.9342741712782	1.7506361475597e-10	3.04516485039644e-09	241041	WT_positive_minus_negative	3.40102718683676e-09
1.9227254982159	-0.169109823608797	27.4867100657174	1.40707428635875e-05	7.86744671248371e-05	226922	WT_positive_minus_negative	8.02948312877613e-05
-0.570951551174415	-0.801392092317315	0.511625272530558	0.480359562432826	0.596499317383572	116837	WT_positive_minus_negative	0.597487558777308
0.0952294698399712	4.84875432631965	1.72805612931061	0.199218292200869	0.30717191908861	70155	WT_positive_minus_negative	0.305562576293859
-0.0870176501556016	0.992586929054589	0.162662124105226	0.689752773763192	0.777832984788843	280645	WT_positive_minus_negative	0.776591251557194
-0.0219086469381442	4.95719759038012	0.0814274411213276	0.777451211616201	0.846105982986391	98366	WT_positive_minus_negative	0.845236459145415
-0.0724261798514238	2.03144836138757	0.108305178830168	0.74450638291901	0.820962336534102	68002	WT_positive_minus_negative	0.820088104314309
0.137657714859511	5.35781101332152	3.31839536815615	0.0790995570742472	0.14815923796544	68187	WT_positive_minus_negative	0.145351862542125
-0.120258115719826	6.25237894786838	5.35693291674156	0.0281123876288625	0.0628699634548041	68421	WT_positive_minus_negative	0.0615070223085415
-0.120557339358291	-0.0356960770355984	0.0587393980950313	0.810252989608824	0.870858206928369	665903	WT_positive_minus_negative	0.870020559846497
-0.304185380612423	-0.0118468365129504	1.00329538175295	0.325203425499956	0.446773184882001	791350	WT_positive_minus_negative	0.44715591085493
-0.116978787659079	7.12909003669099	6.7154122545901	0.0149537191570781	0.0371275480990005	213109	WT_positive_minus_negative	0.0361667733203611
-0.0473480251566373	7.33427004779479	1.25610507529042	0.271814533572475	0.390268543573938	19243	WT_positive_minus_negative	0.3896290120633
