comp,label,case,reference,ligand,source_label,source_comp,focused_direction,supporting_patients,patients,receptors
AT2,AT2,AIS,normal,CXCL2,T cells proliferating,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,pre-TB secretory,other,False,1,23,DPP4
AT2,AT2,AIS,normal,CXCL2,Club (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL2,DC2,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Deuterosomal,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Goblet (subsegmental),other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Ionocyte,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Multiciliated (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL2,SM activated stress response,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Alveolar Mph proliferating,macrophages,True,0,,
AT2,AT2,AIS,normal,CXCL2,Hillock-like,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,SMG mucous,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,SMG duct,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,SMG serous (nasal),other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Smooth muscle FAM83D+,other,False,0,,
AT2,AT2,AIS,normal,CXCL2,Tuft,other,False,0,,
AT2,AT2,AIS,normal,FGF10,AT1,other,False,0,,
AT2,AT2,AIS,normal,FGF10,AT2,AT2,False,0,,
AT2,AT2,AIS,normal,FGF10,Adventitial fibroblasts,fibroblasts,True,0,,
AT2,AT2,AIS,normal,FGF10,Alveolar fibroblasts,fibroblasts,True,1,23,FGFR1;FGFR2;FGFR3
AT2,AT2,AIS,normal,FGF10,B cells,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Basal resting,other,False,0,,
AT2,AT2,AIS,normal,FGF10,CD4 T cells,other,False,0,,
AT2,AT2,AIS,normal,FGF10,CD8 T cells,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Classical monocytes,other,False,0,,
AT2,AT2,AIS,normal,FGF10,EC aerocyte capillary,other,False,0,,
AT2,AT2,AIS,normal,FGF10,EC arterial,other,False,0,,
AT2,AT2,AIS,normal,FGF10,EC general capillary,other,False,0,,
AT2,AT2,AIS,normal,FGF10,EC venous pulmonary,other,False,0,,
AT2,AT2,AIS,normal,FGF10,EC venous systemic,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Goblet (bronchial),other,False,0,,
AT2,AT2,AIS,normal,FGF10,Goblet (nasal),other,False,0,,
AT2,AT2,AIS,normal,FGF10,Lymphatic EC differentiating,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Lymphatic EC mature,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Mast cells,other,False,0,,
AT2,AT2,AIS,normal,FGF10,Monocyte-derived Mph,macrophages,True,0,,
AT2,AT2,AIS,normal,FGF10,Multiciliated (non-nasal),other,False,0,,
AT2,AT2,AIS,normal,FGF10,Non-classical monocytes,other,False,0,,
