resource,ligand,receptor
consensus,WNT2,FZD7_LRP6
consensus,WNT2,FZD5_LRP5
consensus,WNT2,FZD2_LRP5
consensus,WNT2,FZD8_LRP5
consensus,WNT2,FZD3_LRP5
consensus,WNT2,FZD4_LRP5
consensus,WNT2,FZD10_LRP5
consensus,WNT2,FZD1_LRP5
consensus,WNT2,FZD5_LRP6
consensus,WNT2,FZD2_LRP6
consensus,WNT2,FZD8_LRP6
consensus,WNT2,FZD3_LRP6
consensus,WNT2,FZD4_LRP6
consensus,WNT2,FZD10_LRP6
consensus,WNT2,FZD1_LRP6
consensus,CCL2,CCR1
consensus,CCL2,CCR2
consensus,CCL2,CCR10
consensus,CCL2,CCR3
consensus,CCL2,CCR4
consensus,CCL2,CCR5
consensus,CCL2,ACKR1
consensus,CCL2,ACKR4
consensus,AREG,EGFR_ERBB2
consensus,AREG,ERBB3
consensus,VEGFA,FLT1_KDR
consensus,VEGFA,NRP1
consensus,VEGFA,NRP2
consensus,VEGFA,EGFR
consensus,VEGFA,ITGB3
consensus,VEGFA,ITGB1
consensus,VEGFA,ITGAV
consensus,VEGFA,RET
consensus,VEGFA,EPHB2
consensus,VEGFA,GPC1
consensus,VEGFA,SIRPA
consensus,VEGFA,TYRO3
consensus,VEGFA,ITGA9
consensus,CXCL2,CXCR1
consensus,CXCL2,CXCR2
consensus,CXCL2,XCR1
consensus,CXCL2,MTNR1A
consensus,CXCL2,GRM7
consensus,CXCL2,ACKR1
consensus,FGF7,NRP1
consensus,FGF7,FGFR1
consensus,FGF7,FGFR2
consensus,FGF7,FGFR4
consensus,FGF7,FGFR3
consensus,WNT5A,FZD9
consensus,WNT5A,FZD6
consensus,WNT5A,FZD7
consensus,WNT5A,LRP5
consensus,WNT5A,LRP6
consensus,WNT5A,LDLR
consensus,WNT5A,ADRB2
consensus,WNT5A,RYK
consensus,WNT5A,MCAM
consensus,WNT5A,LRP2
consensus,WNT5A,ROR1
consensus,WNT5A,ROR2
consensus,WNT5A,PTK7
consensus,WNT5A,FZD5
consensus,WNT5A,FZD2
consensus,WNT5A,PTPRK
consensus,WNT5A,EPHA7
consensus,WNT5A,FZD8
consensus,WNT5A,ANTXR1
consensus,WNT5A,FZD3
consensus,WNT5A,FZD4
consensus,WNT5A,FZD10
consensus,CXCL12,CD4
consensus,CXCL12,ITGB3
consensus,CXCL12,ITGB1
consensus,CXCL12,ITGAV
consensus,CXCL12,ITGA5
consensus,CXCL12,ITGA4
consensus,CXCL12,ACKR3
consensus,CXCL12,AVPR1A
consensus,CXCL12,MTNR1A
consensus,CXCL12,CXCR3
consensus,CXCL12,CCR4
consensus,CXCL12,CXCR4
consensus,CXCL12,GRM7
consensus,WNT3,FZD9_LRP5
consensus,WNT3,FZD9_LRP6
consensus,WNT3,FZD6_LRP5
consensus,WNT3,FZD6_LRP6
consensus,WNT3,FZD7_LRP5
consensus,WNT3,FZD7_LRP6
consensus,WNT3,FZD5_LRP5
consensus,WNT3,FZD2_LRP5
consensus,WNT3,FZD8_LRP5
consensus,WNT3,FZD3_LRP5
consensus,WNT3,FZD4_LRP5
consensus,WNT3,FZD10_LRP5
consensus,WNT3,FZD1_LRP5
consensus,WNT3,FZD5_LRP6
consensus,WNT3,FZD2_LRP6
consensus,WNT3,FZD8_LRP6
consensus,WNT3,FZD3_LRP6
consensus,WNT3,FZD4_LRP6
consensus,WNT3,FZD10_LRP6
consensus,WNT3,FZD1_LRP6
consensus,WNT3,RYK
consensus,WNT3,ROR2
consensus,WNT3A,FZD9_LRP5
consensus,WNT3A,FZD9_LRP6
consensus,WNT3A,FZD6_LRP5
consensus,WNT3A,FZD6_LRP6
consensus,WNT3A,FZD7_LRP5
consensus,WNT3A,FZD7_LRP6
consensus,WNT3A,FZD5_LRP5
consensus,WNT3A,FZD2_LRP5
consensus,WNT3A,FZD8_LRP5
consensus,WNT3A,FZD3_LRP5
consensus,WNT3A,FZD4_LRP5
consensus,WNT3A,FZD10_LRP5
consensus,WNT3A,FZD1_LRP5
