case,reference,module,section_weighting,n_patients,eligible_primary_count,mean_paired_difference,loo_min,loo_max
LUAD,AIS,GENE_FGF7,spot_weighted,12,True,-0.011732626595520696,-0.01918713743227152,0.010633932510136968
LUAD,AIS,GENE_HBEGF,spot_weighted,12,True,0.008314647264894004,-0.0017014779003187229,0.011785471948426031
LUAD,AIS,GENE_IFNG,spot_weighted,12,True,8.204136473918427e-05,-0.00018828813112772646,0.0003989623159423465
LUAD,AIS,GENE_IL1A,spot_weighted,12,True,-0.0010049256172588916,-0.0011771409803762783,-0.0001760812964524454
LUAD,AIS,GENE_IL1B,spot_weighted,12,True,-0.008567705911422228,-0.011114638155358356,0.002506309208175826
LUAD,AIS,GENE_IL1R1,spot_weighted,12,True,-0.019917238770717587,-0.02915458078537622,0.01874091213880194
LUAD,AIS,GENE_IL1R2,spot_weighted,12,True,-0.0001753206326329745,-0.0010826777922784815,0.001381924111190328
LUAD,AIS,GENE_IL1RAP,spot_weighted,12,True,0.012669868180352763,5.087100873734954e-05,0.015400232951529995
LUAD,AIS,GENE_IL1RN,spot_weighted,12,True,-0.0005741812563074476,-0.0114062855349972,0.012624564192922693
LUAD,AIS,GENE_KRT17,spot_weighted,12,True,-0.017207936983340194,-0.024405545045223465,0.008538558118987153
LUAD,AIS,GENE_KRT5,spot_weighted,12,True,0.05615360919404255,-0.0004348762020401202,0.15126200079584431
LUAD,AIS,GENE_KRT8,spot_weighted,12,True,0.14186635792244043,0.07218630895600603,0.1544872820610712
LUAD,AIS,GENE_SFTPC,spot_weighted,12,True,-0.7418872614525428,-0.8656727898990998,-0.39313452521966175
LUAD,AIS,GENE_SIGIRR,spot_weighted,12,True,0.012436123051961559,0.006135964430573807,0.013686414638029781
LUAD,AIS,GENE_TGFB1,spot_weighted,12,True,0.013650892001784229,-0.0029939769283174574,0.019235885129828097
LUAD,AIS,GENE_TNF,spot_weighted,12,True,-0.00023544489566635146,-0.0017358531177031104,0.0015321844052546526
LUAD,AIS,HALLMARK_E2F_TARGETS,spot_weighted,12,True,0.01900666392733473,0.004065791567603016,0.020854030381743535
LUAD,AIS,HALLMARK_G2M_CHECKPOINT,spot_weighted,12,True,0.01640914488343497,0.0028214769622508617,0.018578239358964767
LUAD,AIS,HALLMARK_GLYCOLYSIS,spot_weighted,12,True,0.02114420207213739,0.004457117015314344,0.02483447112215408
LUAD,AIS,HALLMARK_HYPOXIA,spot_weighted,12,True,0.012785705270126577,0.0020764599922900684,0.01802907228447461
LUAD,AIS,HALLMARK_IL6_JAK_STAT3_SIGNALING,spot_weighted,12,True,0.010245758249481532,-0.000591306672079122,0.01649356279602108
LUAD,AIS,HALLMARK_INFLAMMATORY_RESPONSE,spot_weighted,12,True,0.007953103398570187,-0.0037292516711922826,0.015505362377112685
LUAD,AIS,HALLMARK_INTERFERON_GAMMA_RESPONSE,spot_weighted,12,True,0.02026760550336784,0.0005448938543211449,0.026506601625920202
LUAD,AIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,spot_weighted,12,True,0.02650615378400474,0.006347722790689963,0.028952693126206807
LUAD,AIS,HALLMARK_P53_PATHWAY,spot_weighted,12,True,0.02023084180067822,0.0062191345595671195,0.024856179877783078
LUAD,AIS,HALLMARK_TGF_BETA_SIGNALING,spot_weighted,12,True,0.01710129869299004,0.007705177901071911,0.01866616575900546
LUAD,AIS,HALLMARK_TNFA_SIGNALING_VIA_NFKB,spot_weighted,12,True,0.00961820060242183,-0.00264507406982374,0.02150344919076937
LUAD,AIS,HALLMARK_WNT_BETA_CATENIN_SIGNALING,spot_weighted,12,True,0.007958528493333972,0.002526631287074015,0.008983681440568764
LUAD,AIS,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,spot_weighted,12,True,0.012956868031924848,0.0015221250590164589,0.018705944036558276
LUAD,MIA,GENE_AGER,equal_sections,4,True,-0.011402356754222829,-0.0314810633572358,0.00047614621858049766
LUAD,MIA,GENE_AQP5,equal_sections,4,True,0.0043573373352272,0.0027371684472605336,0.0060953179118808
LUAD,MIA,GENE_AREG,equal_sections,4,True,0.00616375568457285,0.00034013836485243323,0.008404996786830533
LUAD,MIA,GENE_C1QA,equal_sections,4,True,0.028767976315488674,0.0202205041010332,0.038128632909664964
LUAD,MIA,GENE_CCL2,equal_sections,4,True,0.036000836970170154,0.005369224045249569,0.04743129115961007
LUAD,MIA,GENE_CD3D,equal_sections,4,True,0.004268879598318575,0.0020802100201392,0.005658208378511533
LUAD,MIA,GENE_CD8A,equal_sections,4,True,0.06315418717041354,-0.01769671087594471,0.10170924943815744
LUAD,MIA,GENE_CLDN4,equal_sections,4,True,0.03236620173948025,0.016813819735851502,0.0443115456601422
LUAD,MIA,GENE_COL1A1,equal_sections,4,True,0.12879823974698879,0.0884753031113768,0.15233062498391947
LUAD,MIA,GENE_CXCL12,equal_sections,4,True,0.01036624023302865,0.007372822689814135,0.013731050370003066
LUAD,MIA,GENE_FGF10,equal_sections,4,True,0.00013562577672347498,-6.174052334186667e-05,0.00026794524742106666
LUAD,MIA,GENE_FGF7,equal_sections,4,True,0.008194617668981174,0.004887305642508032,0.0104935106483316
LUAD,MIA,GENE_HBEGF,equal_sections,4,True,0.005964862494121474,0.000765726266670466,0.007840782165463031
LUAD,MIA,GENE_IFNG,equal_sections,4,True,0.00031686378023500005,4.387159541770004e-05,0.00045905684349286676
LUAD,MIA,GENE_IL1A,equal_sections,4,True,0.00089802504534825,0.0005874080597108667,0.0012038457098646667
LUAD,MIA,GENE_IL1B,equal_sections,4,True,0.0030932293355933247,0.0006486885662026331,0.004000747542358566
LUAD,MIA,GENE_IL1R1,equal_sections,4,True,0.029966716100761397,0.015577086057947562,0.03807894826765253
LUAD,MIA,GENE_IL1R2,equal_sections,4,True,0.00513622361980495,0.000332037107781667,0.006805234662964333
LUAD,MIA,GENE_IL1RAP,equal_sections,4,True,0.0112413531528102,0.0063482889127526995,0.014938069483716732
LUAD,MIA,GENE_IL1RN,equal_sections,4,True,0.009480136220004374,0.005675815792715533,0.012467997721994166
LUAD,MIA,GENE_KRT17,equal_sections,4,True,0.00470672144400445,0.0020241860218976337,0.0069379272757173
LUAD,MIA,GENE_KRT5,equal_sections,4,True,-0.19536913502098385,-0.36764286950028485,0.15503212491065188
LUAD,MIA,GENE_KRT8,equal_sections,4,True,0.08769367101050961,0.037627090273351704,0.11597042403859505
LUAD,MIA,GENE_SFTPC,equal_sections,4,True,-0.09575476389693346,-0.13231099853159392,-0.05389184015027195
LUAD,MIA,GENE_SIGIRR,equal_sections,4,True,0.009992765110936375,0.004370944028726,0.013367238265362768
LUAD,MIA,GENE_TGFB1,equal_sections,4,True,0.004592256172540175,0.0029515391203034,0.006029772230502433
LUAD,MIA,GENE_TNF,equal_sections,4,True,0.000594057888119575,0.00040202300424179994,0.0009179762644271
LUAD,MIA,HALLMARK_E2F_TARGETS,equal_sections,4,True,0.009806809218877274,0.005488239165030498,0.012664251601707631
LUAD,MIA,HALLMARK_G2M_CHECKPOINT,equal_sections,4,True,0.008433101276362499,0.004488836620065466,0.010980470264668432
LUAD,MIA,HALLMARK_GLYCOLYSIS,equal_sections,4,True,0.012908240339012474,0.005990511458344766,0.016999543096958433
LUAD,MIA,HALLMARK_HYPOXIA,equal_sections,4,True,0.015200327080663226,0.011291523838348668,0.01952416939761927
LUAD,MIA,HALLMARK_IL6_JAK_STAT3_SIGNALING,equal_sections,4,True,0.013786840434406575,0.010245039196669267,0.017025006038964365
LUAD,MIA,HALLMARK_INFLAMMATORY_RESPONSE,equal_sections,4,True,0.009076281857485078,0.006146434171481437,0.01179746001213367
LUAD,MIA,HALLMARK_INTERFERON_GAMMA_RESPONSE,equal_sections,4,True,0.016355691683547724,0.009018902635484232,0.020810322119819764
LUAD,MIA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,equal_sections,4,True,0.012760063315029501,0.0061656906420965,0.016682355855283368
LUAD,MIA,HALLMARK_P53_PATHWAY,equal_sections,4,True,0.017881888692583076,0.010683338172565768,0.02317192540981607
LUAD,MIA,HALLMARK_TGF_BETA_SIGNALING,equal_sections,4,True,0.017777991956174376,0.012993277123999234,0.022919890187927366
LUAD,MIA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,equal_sections,4,True,0.018964326380640224,0.010409649110687499,0.0239269847322108
LUAD,MIA,HALLMARK_WNT_BETA_CATENIN_SIGNALING,equal_sections,4,True,0.007995179429833025,0.0037725019301834,0.01041432613466
LUAD,MIA,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,equal_sections,4,True,0.015225914765291601,0.0114434384094943,0.01823729600006377
LUAD,MIA,GENE_AGER,spot_weighted,4,True,-0.011402356754222829,-0.03148106335723579,0.00047614621858049766
LUAD,MIA,GENE_AQP5,spot_weighted,4,True,0.0043573373352272,0.0027371684472605336,0.0060953179118808
LUAD,MIA,GENE_AREG,spot_weighted,4,True,0.00616375568457285,0.00034013836485243323,0.008404996786830533
LUAD,MIA,GENE_C1QA,spot_weighted,4,True,0.028767976315488674,0.0202205041010332,0.038128632909664964
LUAD,MIA,GENE_CCL2,spot_weighted,4,True,0.036000836970170154,0.005369224045249569,0.04743129115961007
LUAD,MIA,GENE_CD3D,spot_weighted,4,True,0.004268879598318575,0.0020802100201391996,0.005658208378511533
LUAD,MIA,GENE_CD8A,spot_weighted,4,True,0.06315418717041332,-0.017696710875945005,0.10170924943815714
LUAD,MIA,GENE_CLDN4,spot_weighted,4,True,0.03236620173948025,0.016813819735851502,0.0443115456601422
LUAD,MIA,GENE_COL1A1,spot_weighted,4,True,0.12879823974698879,0.0884753031113768,0.15233062498391947
LUAD,MIA,GENE_CXCL12,spot_weighted,4,True,0.010366240233028649,0.007372822689814133,0.013731050370003066
LUAD,MIA,GENE_FGF10,spot_weighted,4,True,0.00013562577672347498,-6.174052334186667e-05,0.00026794524742106666
LUAD,MIA,GENE_FGF7,spot_weighted,4,True,0.008194617668981174,0.004887305642508032,0.0104935106483316
LUAD,MIA,GENE_HBEGF,spot_weighted,4,True,0.005964862494121475,0.0007657262666704671,0.007840782165463033
LUAD,MIA,GENE_IFNG,spot_weighted,4,True,0.00031686378023500005,4.387159541770004e-05,0.0004590568434928667
LUAD,MIA,GENE_IL1A,spot_weighted,4,True,0.00089802504534825,0.0005874080597108667,0.0012038457098646667
LUAD,MIA,GENE_IL1B,spot_weighted,4,True,0.003093229335593325,0.0006486885662026336,0.004000747542358567
LUAD,MIA,GENE_IL1R1,spot_weighted,4,True,0.029966716100761397,0.015577086057947562,0.03807894826765253
LUAD,MIA,GENE_IL1R2,spot_weighted,4,True,0.00513622361980495,0.000332037107781667,0.006805234662964333
LUAD,MIA,GENE_IL1RAP,spot_weighted,4,True,0.011241353152810201,0.0063482889127527,0.014938069483716733
LUAD,MIA,GENE_IL1RN,spot_weighted,4,True,0.009480136220004376,0.005675815792715535,0.012467997721994167
LUAD,MIA,GENE_KRT17,spot_weighted,4,True,0.00470672144400445,0.0020241860218976337,0.0069379272757173
LUAD,MIA,GENE_KRT5,spot_weighted,4,True,-0.19536913502098407,-0.36764286950028513,0.15503212491065158
LUAD,MIA,GENE_KRT8,spot_weighted,4,True,0.08769367101050961,0.037627090273351704,0.11597042403859505
LUAD,MIA,GENE_SFTPC,spot_weighted,4,True,-0.09575476389693348,-0.13231099853159395,-0.053891840150271965
LUAD,MIA,GENE_SIGIRR,spot_weighted,4,True,0.009992765110936375,0.004370944028726,0.013367238265362768
LUAD,MIA,GENE_TGFB1,spot_weighted,4,True,0.004592256172540176,0.002951539120303401,0.006029772230502435
