gene	supplied_set	source_cell	evidence
PLK2	ATF3_unique	A913	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PLPP3	ATF3_unique	A914	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PLPPR1	ATF3_unique	A915	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PLXDC2	ATF3_unique	A916	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PLXNA4	ATF3_unique	A917	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PM20D1	ATF3_unique	A918	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PMEPA1	ATF3_unique	A919	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PNMA1	ATF3_unique	A920	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PNRC1	ATF3_unique	A921	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PODXL	ATF3_unique	A922	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POFUT1	ATF3_unique	A923	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POLA2	ATF3_unique	A924	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POLI	ATF3_unique	A925	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POLR2M	ATF3_unique	A926	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POR	ATF3_unique	A927	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POT1	ATF3_unique	A928	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
POU2F3	ATF3_unique	A929	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPFIA1	ATF3_unique	A930	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPFIA2	ATF3_unique	A931	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPM1H	ATF3_unique	A932	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP1CB	ATF3_unique	A933	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP1R17	ATF3_unique	A934	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP2R2A	ATF3_unique	A935	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP2R2B	ATF3_unique	A936	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP2R5A	ATF3_unique	A937	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP3CA	ATF3_unique	A938	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPP4R2	ATF3_unique	A939	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PPTC7	ATF3_unique	A940	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PQLC2	ATF3_unique	A941	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRDM14	ATF3_unique	A942	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRDX5	ATF3_unique	A943	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRDX6	ATF3_unique	A944	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRELID2	ATF3_unique	A945	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRICKLE2	ATF3_unique	A946	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRIMA1	ATF3_unique	A947	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRKAR1B	ATF3_unique	A948	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRKCE	ATF3_unique	A949	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRKD1	ATF3_unique	A950	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRKX	ATF3_unique	A951	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRL	ATF3_unique	A952	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRPS1	ATF3_unique	A953	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRPS2	ATF3_unique	A954	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRR5L	ATF3_unique	A955	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRSS12	ATF3_unique	A956	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PRTG	ATF3_unique	A957	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PSD2	ATF3_unique	A958	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PSD4	ATF3_unique	A959	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PSMB1	ATF3_unique	A960	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PSMD6	ATF3_unique	A961	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTBP2	ATF3_unique	A962	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTEN	ATF3_unique	A963	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTHLH	ATF3_unique	A964	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTPA	ATF3_unique	A965	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTPN1	ATF3_unique	A966	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTPN20	ATF3_unique	A967	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTPN3	ATF3_unique	A968	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTPRD	ATF3_unique	A969	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PTTG1	ATF3_unique	A970	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PUM1	ATF3_unique	A971	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PUS7	ATF3_unique	A972	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PYGL	ATF3_unique	A973	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
PYGO1	ATF3_unique	A974	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
R3HDML	ATF3_unique	A975	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAB10	ATF3_unique	A976	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAB22A	ATF3_unique	A977	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAD51AP2	ATF3_unique	A978	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAD9B	ATF3_unique	A979	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAI1	ATF3_unique	A980	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RALA	ATF3_unique	A981	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RALGPS2	ATF3_unique	A982	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RANBP3	ATF3_unique	A983	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAP1GDS1	ATF3_unique	A984	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAP2B	ATF3_unique	A985	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAPGEF1	ATF3_unique	A986	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAPGEF4	ATF3_unique	A987	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RAPGEF6	ATF3_unique	A988	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASEF	ATF3_unique	A989	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASGEF1B	ATF3_unique	A990	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASGRP1	ATF3_unique	A991	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASL10B	ATF3_unique	A992	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASSF6	ATF3_unique	A993	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RASSF8	ATF3_unique	A994	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RBFOX2	ATF3_unique	A995	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RBM20	ATF3_unique	A996	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RBM47	ATF3_unique	A997	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RBPJ	ATF3_unique	A998	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RDH10	ATF3_unique	A999	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RERG	ATF3_unique	A1000	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RFPL4B	ATF3_unique	A1001	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RFWD2	ATF3_unique	A1002	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RFX2	ATF3_unique	A1003	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RFX7	ATF3_unique	A1004	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RFXAP	ATF3_unique	A1005	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RGS18	ATF3_unique	A1006	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RGS3	ATF3_unique	A1007	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RGS6	ATF3_unique	A1008	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RHBDD2	ATF3_unique	A1009	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RIMS1	ATF3_unique	A1010	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RIN2	ATF3_unique	A1011	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RIOX2	ATF3_unique	A1012	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RIPK2	ATF3_unique	A1013	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RIPK4	ATF3_unique	A1014	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RIPOR2	ATF3_unique	A1015	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RMDN2	ATF3_unique	A1016	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RMI1	ATF3_unique	A1017	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNASEH2B	ATF3_unique	A1018	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNF141	ATF3_unique	A1019	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNF144B	ATF3_unique	A1020	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNF152	ATF3_unique	A1021	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNF183	ATF3_unique	A1022	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNF19B	ATF3_unique	A1023	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNF213	ATF3_unique	A1024	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNF222	ATF3_unique	A1025	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RNGTT	ATF3_unique	A1026	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ROBO1	ATF3_unique	A1027	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
ROS1	ATF3_unique	A1028	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RPA3	ATF3_unique	A1029	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RPA4	ATF3_unique	A1030	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RPL10L	ATF3_unique	A1031	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RPL24	ATF3_unique	A1032	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RPL31	ATF3_unique	A1033	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RPS6KA2	ATF3_unique	A1034	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RSPH3	ATF3_unique	A1035	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
RWDD3	ATF3_unique	A1036	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
S100A10	ATF3_unique	A1037	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
S1PR3	ATF3_unique	A1038	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SARAF	ATF3_unique	A1039	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SATB1	ATF3_unique	A1040	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SATB2	ATF3_unique	A1041	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SDK1	ATF3_unique	A1042	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SEMA3D	ATF3_unique	A1043	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SEMA7A	ATF3_unique	A1044	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SEPT11	ATF3_unique	A1045	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SERINC3	ATF3_unique	A1046	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SERPINF1	ATF3_unique	A1047	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SERTM1	ATF3_unique	A1048	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SESN1	ATF3_unique	A1049	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SESN2	ATF3_unique	A1050	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SESTD1	ATF3_unique	A1051	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SETBP1	ATF3_unique	A1052	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SFRP5	ATF3_unique	A1053	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SFTA3	ATF3_unique	A1054	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SGCZ	ATF3_unique	A1055	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SH2D1A	ATF3_unique	A1056	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SH3RF2	ATF3_unique	A1057	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SHB	ATF3_unique	A1058	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SHC3	ATF3_unique	A1059	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SHOX	ATF3_unique	A1060	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SHROOM3	ATF3_unique	A1061	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SHROOM4	ATF3_unique	A1062	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SIGLEC15	ATF3_unique	A1063	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SIK1	ATF3_unique	A1064	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SIK2	ATF3_unique	A1065	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SIM1	ATF3_unique	A1066	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SIPA1L1	ATF3_unique	A1067	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SIPA1L2	ATF3_unique	A1068	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC16A3	ATF3_unique	A1069	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC18A1	ATF3_unique	A1070	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC22A23	ATF3_unique	A1071	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC24A3	ATF3_unique	A1072	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC25A13	ATF3_unique	A1073	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC25A21	ATF3_unique	A1074	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC26A11	ATF3_unique	A1075	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC26A9	ATF3_unique	A1076	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC35C1	ATF3_unique	A1077	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC35D1	ATF3_unique	A1078	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC35E3	ATF3_unique	A1079	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC36A3	ATF3_unique	A1080	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC38A4	ATF3_unique	A1081	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC44A3	ATF3_unique	A1082	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC4A3	ATF3_unique	A1083	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC4A4	ATF3_unique	A1084	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC6A1	ATF3_unique	A1085	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC6A11	ATF3_unique	A1086	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC6A14	ATF3_unique	A1087	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC6A2	ATF3_unique	A1088	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLC9A7	ATF3_unique	A1089	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLIT1	ATF3_unique	A1090	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLITRK3	ATF3_unique	A1091	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SLITRK6	ATF3_unique	A1092	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMAD7	ATF3_unique	A1093	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMARCA2	ATF3_unique	A1094	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMCO3	ATF3_unique	A1095	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMG9	ATF3_unique	A1096	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMIM20	ATF3_unique	A1097	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMIM24	ATF3_unique	A1098	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMIM30	ATF3_unique	A1099	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMNDC1	ATF3_unique	A1100	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMURF2	ATF3_unique	A1101	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMYD3	ATF3_unique	A1102	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SMYD4	ATF3_unique	A1103	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SNAI2	ATF3_unique	A1104	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SNAPC1	ATF3_unique	A1105	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SNX19	ATF3_unique	A1106	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SOCS6	ATF3_unique	A1107	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SOGA3	ATF3_unique	A1108	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SORL1	ATF3_unique	A1109	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SOX4	ATF3_unique	A1110	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SOX6	ATF3_unique	A1111	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SOX9	ATF3_unique	A1112	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SP100	ATF3_unique	A1113	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SP3	ATF3_unique	A1114	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPACA4	ATF3_unique	A1115	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPAG16	ATF3_unique	A1116	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPATA31D1	ATF3_unique	A1117	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPATA31D4	ATF3_unique	A1118	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPDEF	ATF3_unique	A1119	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPDYC	ATF3_unique	A1120	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPECC1L	ATF3_unique	A1121	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPIN1	ATF3_unique	A1122	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPNS2	ATF3_unique	A1123	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPOCD1	ATF3_unique	A1124	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPOP	ATF3_unique	A1125	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPP2	ATF3_unique	A1126	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPRED2	ATF3_unique	A1127	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SPRY1	ATF3_unique	A1128	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SRP14	ATF3_unique	A1129	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SRPK1	ATF3_unique	A1130	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SRPK2	ATF3_unique	A1131	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SSBP2	ATF3_unique	A1132	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SSH2	ATF3_unique	A1133	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SSPN	ATF3_unique	A1134	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SSTR1	ATF3_unique	A1135	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STAC	ATF3_unique	A1136	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STAMBPL1	ATF3_unique	A1137	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STARD13	ATF3_unique	A1138	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STATH	ATF3_unique	A1139	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STAU2	ATF3_unique	A1140	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STC2	ATF3_unique	A1141	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STEAP1B	ATF3_unique	A1142	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STK32A	ATF3_unique	A1143	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STK38L	ATF3_unique	A1144	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STOML3	ATF3_unique	A1145	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STPG1	ATF3_unique	A1146	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STX8	ATF3_unique	A1147	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
STXBP1	ATF3_unique	A1148	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SUCO	ATF3_unique	A1149	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SULF1	ATF3_unique	A1150	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SULT2B1	ATF3_unique	A1151	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SUPT7L	ATF3_unique	A1152	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SUSD3	ATF3_unique	A1153	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SUSD6	ATF3_unique	A1154	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SVIL	ATF3_unique	A1155	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SVIP	ATF3_unique	A1156	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SVOP	ATF3_unique	A1157	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SVOPL	ATF3_unique	A1158	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYCE1L	ATF3_unique	A1159	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYCP2	ATF3_unique	A1160	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYNDIG1	ATF3_unique	A1161	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYNPO2	ATF3_unique	A1162	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYT1	ATF3_unique	A1163	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYT15	ATF3_unique	A1164	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYT16	ATF3_unique	A1165	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYTL1	ATF3_unique	A1166	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYTL2	ATF3_unique	A1167	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
SYVN1	ATF3_unique	A1168	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TACR2	ATF3_unique	A1169	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TAF4	ATF3_unique	A1170	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TAGAP	ATF3_unique	A1171	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TAS1R3	ATF3_unique	A1172	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TAS2R1	ATF3_unique	A1173	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TAS2R16	ATF3_unique	A1174	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TBC1D2	ATF3_unique	A1175	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TBC1D5	ATF3_unique	A1176	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TBL1XR1	ATF3_unique	A1177	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TBPL2	ATF3_unique	A1178	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TCEAL1	ATF3_unique	A1179	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TCF7L1	ATF3_unique	A1180	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TDRD3	ATF3_unique	A1181	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TDRD9	ATF3_unique	A1182	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TECRL	ATF3_unique	A1183	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TENM1	ATF3_unique	A1184	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TENM2	ATF3_unique	A1185	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TES	ATF3_unique	A1186	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TEX13C	ATF3_unique	A1187	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TEX35	ATF3_unique	A1188	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TFAP2A	ATF3_unique	A1189	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TFPI2	ATF3_unique	A1190	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TGFA	ATF3_unique	A1191	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TGFB2	ATF3_unique	A1192	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
TGFBR3	ATF3_unique	A1193	author-derived motif-to-gene prediction and selected RNA overlap; no occupancy validation
