comp,label,case,reference,direction,scope,ligand,primary_pearson,primary_rank,planned_omissions,eligible_omissions,complete_omission_coverage,min_rank,max_rank,minimum_pearson,maximum_pearson
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT7B,0.0436087460031042,7.0,23,23,True,6.0,9.0,0.0369369878353623,0.0518864518390093
AT2,AT2,LUAD,normal,up,source_agnostic_planned_panel,WNT9A,0.0418851416541879,13.0,23,23,True,10.0,14.0,0.0355001998357232,0.0501919452140892
AT2,AT2,MIA,normal,down,focused_triad,CXCL12,0.0162980157625717,5.0,4,4,True,2.0,4.0,-0.0057090416938147,0.0499743547770101
AT2,AT2,MIA,normal,down,focused_triad,CXCL2,0.0188850239151676,3.0,4,1,False,3.0,3.0,0.0226333401300043,0.0226333401300043
AT2,AT2,MIA,normal,down,focused_triad,FGF7,0.0165307217655815,4.0,4,4,True,1.0,4.0,-0.0087839607372908,0.0589576387681089
AT2,AT2,MIA,normal,down,focused_triad,HBEGF,0.0125924061553363,6.0,4,1,False,5.0,5.0,0.0077225775659017,0.0077225775659017
AT2,AT2,MIA,normal,down,focused_triad,VEGFA,0.0428816656899349,1.0,4,4,True,1.0,2.0,0.0088551975136451,0.0757749968856825
AT2,AT2,MIA,normal,down,focused_triad,WNT2,0.0279357526241479,2.0,4,4,True,3.0,6.0,-0.0077944546513858,0.0227076187823091
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,AREG,0.0068599455473012,12.0,4,1,False,3.0,3.0,0.020332353946469,0.020332353946469
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,CXCL12,0.0162980157625717,9.0,4,4,True,2.0,12.0,-0.0057090416938147,0.0499743547770101
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,CXCL2,0.0188850239151676,7.0,4,4,True,3.0,5.0,-0.0004172478231358,0.0561582458882051
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,FGF7,0.0165307217655815,8.0,4,4,True,2.0,10.0,-0.0087839607372908,0.0589576387681089
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,HBEGF,0.0125924061553363,11.0,4,4,True,4.0,6.0,-0.0057416269830459,0.0218762609758982
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,VEGFA,0.0428816656899349,1.0,4,4,True,1.0,6.0,0.0088551975136451,0.0757749968856825
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,WNT2,0.0279357526241479,2.0,4,4,True,5.0,9.0,-0.0077944546513858,0.0227076187823091
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,WNT3A,0.0160516154899023,10.0,4,4,True,1.0,11.0,-0.0094785387393636,0.0258431468343048
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,WNT5B,0.0252938485945144,6.0,4,4,True,5.0,10.0,-0.0066565537517954,0.0116008296624987
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,WNT7A,0.0268180607273986,3.0,4,4,True,7.0,8.0,-0.0075652433830069,0.0143726361884403
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,WNT7B,0.0261319426557803,5.0,4,4,True,7.0,9.0,-0.0076502569163976,0.0142241934145457
AT2,AT2,MIA,normal,down,source_agnostic_planned_panel,WNT9A,0.026240094663145,4.0,4,4,True,6.0,11.0,-0.006725258515699,0.0122145878324462
AT2,AT2,MIA,normal,up,focused_triad,CXCL12,0.0355992593670341,3.0,4,4,True,2.0,4.0,0.0113726517450107,0.0688685552441353
AT2,AT2,MIA,normal,up,focused_triad,CXCL2,0.0313432670281937,4.0,4,1,False,5.0,5.0,0.0403572085562486,0.0403572085562486
AT2,AT2,MIA,normal,up,focused_triad,FGF7,0.0923633798271656,1.0,4,4,True,1.0,1.0,0.0481854213461346,0.0846965207140778
AT2,AT2,MIA,normal,up,focused_triad,HBEGF,0.0157693332085817,6.0,4,1,False,6.0,6.0,0.0347317333594345,0.0347317333594345
AT2,AT2,MIA,normal,up,focused_triad,VEGFA,0.0279581327530673,5.0,4,4,True,2.0,4.0,0.0306689429324764,0.0465611821042388
AT2,AT2,MIA,normal,up,focused_triad,WNT2,0.0415870607388613,2.0,4,4,True,3.0,3.0,0.0225762388302032,0.0491637337403494
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,AREG,0.0412218102506536,4.0,4,1,False,4.0,4.0,0.0347956651907365,0.0347956651907365
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,CXCL12,0.0355992593670341,9.0,4,4,True,3.0,10.0,0.0113726517450107,0.0688685552441353
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,CXCL2,0.0313432670281937,10.0,4,4,True,9.0,11.0,0.0115766551859882,0.0403572085562486
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,FGF7,0.0923633798271656,1.0,4,4,True,1.0,2.0,0.0481854213461346,0.0846965207140778
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,HBEGF,0.0157693332085817,12.0,4,4,True,11.0,12.0,0.0002578853658289,0.0347317333594345
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,VEGFA,0.0279581327530673,11.0,4,4,True,3.0,8.0,0.0306689429324764,0.0465611821042388
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,WNT2,0.0415870607388613,3.0,4,4,True,4.0,7.0,0.0225762388302032,0.0491637337403494
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,WNT3A,0.0493085813047976,2.0,4,4,True,1.0,2.0,0.0432747445162156,0.0874578043253172
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,WNT5B,0.0385224635741554,8.0,4,4,True,8.0,9.0,0.0224572529923262,0.0449856822311262
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,WNT7A,0.0401552135096532,5.0,4,4,True,4.0,7.0,0.0234069480850183,0.0469411373610115
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,WNT7B,0.0401426677346683,6.0,4,4,True,5.0,7.0,0.0230566071597317,0.0470890175715339
AT2,AT2,MIA,normal,up,source_agnostic_planned_panel,WNT9A,0.039941803967576,7.0,4,4,True,5.0,8.0,0.0231203751488111,0.0469146740310017
AT2,__broad__,AIS,normal,up,focused_triad,CXCL12,0.0121168174508254,10.0,12,5,False,9.0,10.0,0.0082521975109551,0.0271810721542518
AT2,__broad__,AIS,normal,up,focused_triad,CXCL2,0.0143532181110351,9.0,12,5,False,7.0,11.0,0.0115451546034974,0.0331926266569628
AT2,__broad__,AIS,normal,up,focused_triad,FGF7,0.0160571553398688,8.0,12,5,False,2.0,10.0,0.0090972715709629,0.0526057998289253
AT2,__broad__,AIS,normal,up,focused_triad,HBEGF,0.0252080683227482,7.0,12,5,False,2.0,8.0,0.0237159643434853,0.0326369509747589
AT2,__broad__,AIS,normal,up,focused_triad,TGFB1,0.0252317190069312,6.0,12,5,False,1.0,7.0,0.0206623102268814,0.0586317955326375
AT2,__broad__,AIS,normal,up,focused_triad,VEGFA,0.009891587085962,11.0,12,5,False,9.0,11.0,0.000430038620565,0.014788221395053
