"comp","label","case","reference","direction","gene"
"AT2","AT2","LUAD","normal","up","GPATCH4"
"AT2","AT2","LUAD","normal","up","CRABP2"
"AT2","AT2","LUAD","normal","up","HDGF"
"AT2","AT2","LUAD","normal","up","FCRL5"
"AT2","AT2","LUAD","normal","up","FCRL3"
"AT2","AT2","LUAD","normal","up","FCRL1"
"AT2","AT2","LUAD","normal","up","IFI16"
"AT2","AT2","LUAD","normal","up","AIM2"
"AT2","AT2","LUAD","normal","up","DUSP23"
"AT2","AT2","LUAD","normal","up","TAGLN2"
"AT2","AT2","LUAD","normal","up","IGSF9"
"AT2","AT2","LUAD","normal","up","PIGM"
"AT2","AT2","LUAD","normal","up","PEX19"
"AT2","AT2","LUAD","normal","up","COPA"
"AT2","AT2","LUAD","normal","up","NCSTN"
"AT2","AT2","LUAD","normal","up","CD48"
"AT2","AT2","LUAD","normal","up","SLAMF7"
