pair,median_rank_historical,overall_rank_historical,n_donors_historical,median_rank_corrected,overall_rank_corrected,n_donors_corrected,resource
IL16 to CD4,550.0,587.0,23.0,467.0,510.0,19.0,consensus
IL16 to CD9,184.5,176.0,26.0,141.0,132.0,22.0,consensus
IL16 to KCND2,655.0,707.0,19.0,546.0,596.0,17.0,consensus
IL18 to IL1RAPL1,535.0,570.0,22.0,543.0,592.0,18.0,consensus
IL1RAPL1 to PTPRD,361.5,340.0,24.0,434.0,463.0,21.0,consensus
IL1RAPL1 to PTPRS,332.5,306.0,24.0,436.0,466.0,21.0,consensus
IL6 to F3,473.0,483.0,21.0,522.5,565.0,14.0,consensus
IL6 to HRH1,571.0,619.0,21.0,552.5,598.0,14.0,consensus
IL6 to IL6R_IL6ST,674.0,720.0,15.0,704.0,714.0,11.0,consensus
IL6 to MUSK,669.5,713.0,20.0,705.0,715.0,13.0,consensus
ITGAV to THY1,109.5,93.0,26.0,85.5,70.0,22.0,consensus
ITGB2 to THY1,396.0,381.0,23.0,455.0,495.0,20.0,consensus
ITGB3BP to ITGB5,269.5,245.0,26.0,238.0,208.0,22.0,consensus
JAG1 to CD46,247.5,228.0,26.0,257.5,232.0,22.0,consensus
JAG1 to NOTCH2,218.5,207.0,26.0,253.5,226.0,22.0,consensus
JAG1 to NOTCH3,684.5,727.0,14.0,721.0,720.0,12.0,consensus
JAG2 to NOTCH2,495.0,519.0,18.0,585.0,628.0,16.0,consensus
JAM3 to ITGB1,594.0,641.0,17.0,710.0,717.0,12.0,consensus
LAMA1 to CD44,458.0,468.0,25.0,511.0,551.0,21.0,consensus
LAMA1 to DAG1,571.0,620.0,23.0,587.5,631.0,20.0,consensus
LAMA1 to GPC1,657.0,709.0,19.0,557.0,600.0,16.0,consensus
LAMA1 to ITGA1,481.0,490.0,25.0,513.0,555.0,21.0,consensus
LAMA1 to ITGA2_ITGB1,741.5,749.0,20.0,562.0,605.0,17.0,consensus
LAMA1 to ITGA9_ITGB1,515.0,551.0,25.0,544.0,595.0,21.0,consensus
LAMA1 to ITGAV_ITGB8,624.0,674.0,23.0,564.0,607.0,19.0,consensus
LAMA1 to NT5E,581.5,630.0,22.0,560.5,603.0,20.0,consensus
LAMA1 to RPSA,457.0,467.0,25.0,517.0,559.0,21.0,consensus
LAMA1 to SDC2,470.0,478.0,25.0,518.0,560.0,21.0,consensus
LAMA1 to SDC4,613.5,664.0,22.0,569.5,611.0,18.0,consensus
LAMA2 to CD44,79.5,60.0,26.0,72.5,58.0,22.0,consensus
LAMA2 to DAG1,569.5,618.0,24.0,569.0,610.0,21.0,consensus
LAMA2 to ITGA1,183.5,174.0,26.0,163.0,153.0,22.0,consensus
LAMA2 to ITGA2_ITGB1,585.0,631.0,21.0,424.0,450.0,18.0,consensus
LAMA2 to ITGA9_ITGB1,357.5,334.0,26.0,329.0,307.0,22.0,consensus
LAMA2 to ITGAV_ITGB8,478.0,486.0,24.0,462.5,505.0,20.0,consensus
LAMA2 to RPSA,72.0,56.0,26.0,57.0,43.0,22.0,consensus
LAMA3 to CD44,54.5,42.0,26.0,41.0,29.0,22.0,consensus
LAMA3 to DAG1,471.0,481.0,24.0,571.0,612.0,21.0,consensus
LAMA3 to ITGA2_ITGB1,412.0,403.0,21.0,474.0,518.0,18.0,consensus
LAMA3 to ITGA9_ITGB1,305.5,275.0,26.0,330.5,311.0,22.0,consensus
LAMA3 to ITGAV_ITGB8,370.0,350.0,24.0,428.5,455.0,20.0,consensus
LAMA3 to SDC2,130.0,124.0,26.0,102.5,92.0,22.0,consensus
LAMA4 to CD44,111.5,97.0,24.0,521.0,564.0,20.0,consensus
LAMA4 to DAG1,641.5,694.0,22.0,625.0,658.0,19.0,consensus
LAMA4 to ITGA2_ITGB1,683.5,726.0,20.0,579.0,620.0,17.0,consensus
LAMA4 to ITGA9_ITGB1,421.5,412.0,24.0,552.5,599.0,20.0,consensus
LAMA4 to ITGAV_ITGB8,559.0,601.0,23.0,577.0,618.0,19.0,consensus
LAMA5 to CD44,91.0,74.0,26.0,77.5,61.0,22.0,consensus
LAMA5 to DAG1,453.5,456.0,24.0,578.0,619.0,21.0,consensus
LAMA5 to ITGA2_ITGB1,516.0,553.0,21.0,438.5,469.0,18.0,consensus
LAMA5 to ITGA9_ITGB1,331.5,303.0,26.0,354.0,337.0,22.0,consensus
LAMA5 to ITGAV_ITGB8,416.0,406.0,24.0,460.5,504.0,20.0,consensus
LAMB1 to CD44,101.0,83.0,21.0,277.0,254.0,18.0,consensus
LAMB1 to DAG1,560.0,603.0,19.0,629.0,661.0,17.0,consensus
LAMB1 to ITGA1,206.0,192.0,21.0,382.5,383.0,18.0,consensus
LAMB1 to ITGA2_ITGB1,568.0,615.0,16.0,532.5,579.0,14.0,consensus
LAMB1 to ITGA9_ITGB1,373.0,355.0,21.0,503.0,542.0,18.0,consensus
LAMB1 to ITGAV_ITGB8,482.0,497.0,19.0,527.5,569.0,16.0,consensus
LAMB2 to CD44,132.0,127.0,25.0,113.0,105.0,22.0,consensus
LAMB2 to DAG1,478.0,485.0,23.0,580.0,622.0,21.0,consensus
LAMB2 to ITGA2_ITGB1,532.0,564.0,20.0,451.0,484.0,18.0,consensus
LAMB2 to ITGA9_ITGB1,358.0,336.0,25.0,389.0,389.0,22.0,consensus
LAMB2 to ITGAV_ITGB8,452.0,454.0,23.0,490.5,529.0,20.0,consensus
LAMB2 to RPSA,116.0,104.0,25.0,116.0,110.0,22.0,consensus
LAMB3 to CD151,127.0,122.0,26.0,95.5,84.0,22.0,consensus
LAMB3 to CD44,36.5,25.0,26.0,23.5,17.0,22.0,consensus
LAMB3 to DAG1,489.0,515.0,24.0,582.0,625.0,21.0,consensus
LAMB3 to ITGA2_ITGB1,591.0,639.0,21.0,498.5,537.0,18.0,consensus
LAMB3 to ITGA9_ITGB1,283.0,257.0,26.0,234.0,207.0,22.0,consensus
LAMB3 to ITGAV_ITGB8,362.5,341.0,24.0,493.0,531.0,20.0,consensus
LAMC1 to CD44,43.0,33.0,26.0,43.0,30.0,22.0,consensus
LAMC1 to DAG1,455.5,462.0,24.0,584.0,626.0,21.0,consensus
LAMC1 to ITGA1,157.0,145.0,26.0,125.5,119.0,22.0,consensus
LAMC1 to ITGA2_ITGB1,382.0,362.0,21.0,382.0,382.0,18.0,consensus
LAMC1 to ITGA9_ITGB1,277.5,252.0,26.0,252.0,225.0,22.0,consensus
LAMC1 to ITGAV_ITGB8,328.0,301.0,24.0,431.5,458.0,20.0,consensus
LAMC2 to CD151,150.5,139.0,26.0,107.0,97.0,22.0,consensus
LAMC2 to CD44,46.5,39.0,26.0,35.0,24.0,22.0,consensus
LAMC2 to DAG1,505.0,535.0,24.0,586.0,630.0,21.0,consensus
LAMC2 to ITGA2_ITGB1,399.0,384.0,21.0,369.0,360.0,18.0,consensus
LAMC2 to ITGA9_ITGB1,306.0,276.0,26.0,257.0,231.0,22.0,consensus
LAMC2 to ITGAV_ITGB8,374.0,356.0,24.0,427.5,453.0,20.0,consensus
LGALS1 to ITGB1,45.5,37.0,26.0,73.5,59.0,22.0,consensus
LGALS3 to ENG,125.0,119.0,26.0,111.5,104.0,22.0,consensus
LGALS3BP to ITGB1,105.5,87.0,26.0,85.0,69.0,22.0,consensus
LGALS9 to CD44,242.0,223.0,23.0,208.5,183.0,20.0,consensus
LGALS9 to CD47,396.0,380.0,23.0,351.5,332.0,20.0,consensus
LGALS9 to COLEC12,400.0,387.0,23.0,343.0,323.0,20.0,consensus
LGALS9 to LRP1,252.0,231.0,23.0,218.5,190.0,20.0,consensus
LGALS9 to MRC2,326.0,297.0,23.0,267.5,240.0,20.0,consensus
LGALS9 to PTPRK,360.0,338.0,23.0,330.0,309.0,20.0,consensus
LGALS9 to SLC1A5,511.0,541.0,21.0,538.0,584.0,19.0,consensus
LIF to IL6ST_LIFR,534.5,568.0,18.0,588.5,633.0,16.0,consensus
LIN7C to ABCA1,462.0,471.0,21.0,480.0,523.0,19.0,consensus
LIPH to LPAR1,71.0,52.0,26.0,64.0,50.0,22.0,consensus
LMAN1 to MCFD2,356.0,332.0,26.0,319.5,298.0,22.0,consensus
LPL to CD44,469.5,477.0,24.0,572.0,614.0,19.0,consensus
LPL to LRP1,456.5,465.0,24.0,573.0,615.0,19.0,consensus
LRIG1 to EGFR,76.5,58.0,26.0,45.5,33.0,22.0,consensus
LRIG2 to EGFR,206.5,193.0,26.0,161.0,148.0,22.0,consensus
LRP1B to PLAUR,406.5,396.0,26.0,346.5,327.0,22.0,consensus
LRPAP1 to LDLR,427.0,422.0,23.0,455.0,496.0,20.0,consensus
LRPAP1 to LRP1,126.0,120.0,26.0,100.0,88.0,22.0,consensus
LRPAP1 to SORT1,681.5,725.0,22.0,593.5,634.0,18.0,consensus
LTBP1 to ITGB5,158.5,148.0,26.0,216.5,187.0,22.0,consensus
LTBP3 to ITGB5,338.5,312.0,26.0,302.0,281.0,22.0,consensus
LTF to BOC,686.5,728.0,16.0,728.5,725.0,14.0,consensus
LTF to BTN3A2,809.0,778.0,15.0,757.0,733.0,13.0,consensus
LTF to IGDCC4,689.0,731.0,18.0,580.0,623.0,16.0,consensus
LTF to LRP1,107.0,91.0,22.0,89.0,75.0,19.0,consensus
MDK to LRP1,41.5,32.0,26.0,25.0,19.0,22.0,consensus
MDK to NCL,102.0,85.0,26.0,82.0,64.0,22.0,consensus
MDK to NOTCH2,161.5,151.0,26.0,122.0,115.0,22.0,consensus
MDK to SDC2,72.5,57.0,26.0,60.5,46.0,22.0,consensus
MDK to SDC3,645.0,696.0,16.0,584.5,627.0,14.0,consensus
MDK to SDC4,484.0,507.0,23.0,528.0,571.0,19.0,consensus
MELTF to TFRC,456.5,464.0,18.0,564.0,608.0,15.0,consensus
MFGE8 to ITGAV,160.0,149.0,26.0,288.0,268.0,22.0,consensus
MFGE8 to ITGB5,173.0,164.0,26.0,356.0,338.0,22.0,consensus
MFGE8 to PDGFRB,238.0,218.0,26.0,369.0,361.0,22.0,consensus
MMP1 to CD44,566.5,613.0,14.0,616.0,648.0,13.0,consensus
MMP1 to ITGA2,,,,709.0,716.0,11.0,consensus
MMP13 to LRP1,612.5,663.0,14.0,647.0,676.0,13.0,consensus
MMP2 to FGFR1,437.0,433.0,17.0,402.5,410.0,14.0,consensus
MMP7 to CD151,116.5,106.0,24.0,96.0,86.0,21.0,consensus
MMP7 to CD44,21.0,13.0,24.0,13.0,8.0,21.0,consensus
MMP7 to ERBB4,443.0,445.0,19.0,543.5,594.0,18.0,consensus
MMRN2 to CD248,652.0,705.0,16.0,633.5,665.0,14.0,consensus
MXRA5 to AXL,707.0,736.0,13.0,620.0,654.0,11.0,consensus
NAMPT to INSR,163.5,154.0,26.0,127.0,120.0,22.0,consensus
NAMPT to ITGA5_ITGB1,187.5,179.0,24.0,149.0,140.0,20.0,consensus
NCAM1 to CACNA1C,594.0,642.0,14.0,527.5,570.0,12.0,consensus
NCAM1 to FGFR1,483.5,505.0,14.0,528.5,572.0,12.0,consensus
NCAM1 to GFRA1,549.0,585.0,13.0,606.0,643.0,11.0,consensus
NCAM1 to NCAM2,483.5,504.0,14.0,530.5,576.0,12.0,consensus
NCAM1 to PTPRA,598.5,645.0,14.0,531.5,578.0,12.0,consensus
NCAM1 to ROBO1,483.5,502.0,14.0,532.5,580.0,12.0,consensus
NECTIN3 to CADM1,807.0,777.0,15.0,,,,consensus
NECTIN3 to NECTIN2,385.0,366.0,26.0,499.0,539.0,21.0,consensus
NELL2 to ROBO3,619.0,670.0,15.0,718.0,718.0,12.0,consensus
NID1 to ITGAV,122.0,114.0,19.0,,,,consensus
NID1 to ITGB1,97.0,77.0,19.0,,,,consensus
NLGN1 to NRXN2,464.0,472.0,13.0,,,,consensus
NLGN1 to NRXN3,456.0,463.0,23.0,585.0,629.0,20.0,consensus
NRG1 to ADGRL1,602.0,651.0,14.0,695.5,709.0,14.0,consensus
NRG1 to EGFR,68.5,51.0,26.0,56.0,40.0,22.0,consensus
NRG1 to GPC1,420.0,409.0,20.0,538.0,585.0,17.0,consensus
NRG1 to HLA-DPB1,253.0,234.0,26.0,223.0,192.0,22.0,consensus
NRG1 to LGR4,409.0,401.0,24.0,599.0,640.0,21.0,consensus
NRG2 to NRP2,820.5,783.0,20.0,617.5,650.0,18.0,consensus
NRG3 to EGFR,291.0,265.0,21.0,229.0,199.0,17.0,consensus
NRG4 to EGFR,150.0,138.0,26.0,116.0,111.0,22.0,consensus
NRXN1 to NLGN1,447.0,449.0,22.0,574.5,617.0,20.0,consensus
NRXN3 to NLGN1,119.0,110.0,26.0,104.5,94.0,22.0,consensus
NRXN3 to NLGN2,591.0,638.0,13.0,,,,consensus
NTN1 to DSCAM,698.0,734.0,15.0,768.0,734.0,14.0,consensus
NTN1 to NEO1,298.0,269.0,25.0,243.0,214.0,22.0,consensus
NTN1 to UNC5B,818.0,782.0,13.0,,,,consensus
NTN1 to UNC5C,116.5,105.0,26.0,105.5,95.0,22.0,consensus
NTN1 to UNC5D,535.0,571.0,18.0,602.0,641.0,15.0,consensus
NTRK3 to PTPRD,112.0,98.0,17.0,,,,consensus
NTRK3 to PTPRS,84.0,71.0,17.0,,,,consensus
NUCB2 to ERAP1,517.0,554.0,24.0,622.0,656.0,21.0,consensus
OLFM2 to ROBO2,327.0,299.0,21.0,327.0,304.0,17.0,consensus
OMG to LINGO1,569.5,617.0,18.0,573.5,616.0,16.0,consensus
PAM to FAP,240.0,220.0,22.0,180.0,170.0,19.0,consensus
PDAP1 to PDGFRB,301.0,271.0,26.0,269.0,244.0,22.0,consensus
PDGFA to PDGFRB,310.0,282.0,25.0,327.0,305.0,20.0,consensus
PDGFC to PDGFRB,286.5,262.0,26.0,223.0,193.0,22.0,consensus
PGF to NRP1,676.0,723.0,13.0,,,,consensus
PIP to CD4,615.0,665.0,22.0,568.5,609.0,18.0,consensus
PIP to NPTN,385.0,365.0,25.0,403.0,412.0,21.0,consensus
PKM to CD44,21.0,12.0,26.0,14.5,10.0,22.0,consensus
PLA2G10 to PLA2R1,605.0,655.0,21.0,617.0,649.0,18.0,consensus
PLAT to LRP1,499.0,526.0,20.0,542.5,590.0,12.0,consensus
PLAU to IGF2R,320.0,291.0,24.0,293.0,273.0,20.0,consensus
PLAU to ITGA5,448.0,451.0,22.0,415.5,438.0,18.0,consensus
PLAU to ITGB1,234.0,215.0,24.0,176.0,158.0,20.0,consensus
PLAU to ITGB5,314.0,288.0,24.0,243.0,215.0,20.0,consensus
PLAU to LRP1,145.0,135.0,24.0,108.0,100.0,20.0,consensus
PLAU to PLAUR,268.5,244.0,24.0,200.0,180.0,20.0,consensus
PLTP to ABCA1,572.0,621.0,23.0,612.0,645.0,19.0,consensus
POSTN to ITGAV_ITGB5,,,,650.0,679.0,12.0,consensus
POSTN to PTK7,,,,683.0,703.0,11.0,consensus
PROS1 to AXL,181.0,169.0,26.0,146.0,137.0,22.0,consensus
PROS1 to MERTK,691.0,732.0,20.0,627.0,659.0,17.0,consensus
PSAP to AR,565.0,609.0,23.0,665.0,692.0,20.0,consensus
PSAP to LRP1,25.5,21.0,26.0,17.5,13.0,22.0,consensus
PSAP to SORT1,675.5,722.0,22.0,647.5,677.0,18.0,consensus
PSEN1 to CD44,71.5,54.0,26.0,52.5,37.0,22.0,consensus
PSEN1 to NCSTN,533.0,566.0,24.0,672.0,696.0,20.0,consensus
PSEN1 to NOTCH2,209.5,195.0,26.0,156.5,145.0,22.0,consensus
PSEN1 to NOTCH3,800.5,776.0,14.0,823.0,744.0,12.0,consensus
PTDSS1 to JMJD6,564.5,608.0,20.0,628.0,660.0,18.0,consensus
PTGS2 to CAV1,181.5,172.0,26.0,176.0,159.0,21.0,consensus
PTN to NCL,446.0,448.0,18.0,734.0,728.0,12.0,consensus
PTN to PLXNB2,756.0,754.0,15.0,,,,consensus
PTN to PTPRS,433.0,428.0,18.0,736.0,729.0,12.0,consensus
PTN to SDC2,452.0,453.0,18.0,737.0,730.0,12.0,consensus
PTN to SDC4,627.0,678.0,17.0,826.0,745.0,11.0,consensus
PTPN6 to EGFR,210.0,196.0,26.0,182.0,172.0,22.0,consensus
RARRES1 to NRP2,432.0,427.0,21.0,363.0,348.0,19.0,consensus
RGMA to BMPR1B,559.5,602.0,14.0,649.5,678.0,12.0,consensus
RGMA to BMPR2,479.0,488.0,21.0,559.5,602.0,18.0,consensus
RGMA to NEO1,569.0,616.0,21.0,612.0,646.0,18.0,consensus
RGMB to BMPR1B,,,,698.0,711.0,11.0,consensus
RGMB to BMPR2,608.0,659.0,18.0,650.5,682.0,16.0,consensus
RGMB to NEO1,627.0,679.0,17.0,651.5,683.0,16.0,consensus
RIMS1 to CACNA1C,57.0,43.0,25.0,43.5,31.0,22.0,consensus
RIMS2 to ABCA1,453.0,455.0,21.0,539.0,588.0,19.0,consensus
RPS19 to C5AR1,525.0,558.0,24.0,631.0,663.0,20.0,consensus
RTN4 to LINGO1,427.0,423.0,18.0,597.5,638.0,16.0,consensus
RTN4 to TNFRSF19,676.5,724.0,20.0,640.0,672.0,17.0,consensus
S100A4 to EGFR,45.0,36.0,26.0,65.0,51.0,22.0,consensus
SCEL to ENG,253.0,233.0,25.0,254.0,229.0,21.0,consensus
SCGB1A1 to LMBR1L,811.5,779.0,14.0,773.5,737.0,12.0,consensus
SCGB3A1 to MARCO,420.0,410.0,19.0,635.0,666.0,15.0,consensus
SCGB3A1 to NOTCH3,768.0,758.0,14.0,848.5,748.0,12.0,consensus
SCGB3A2 to MARCO,422.0,415.0,19.0,636.0,667.0,15.0,consensus
SDC2 to PTPRJ,303.0,272.0,25.0,455.0,497.0,19.0,consensus
SEMA3A to NRP1_PLXNA2,351.0,325.0,25.0,398.0,407.0,21.0,consensus
SEMA3A to NRP1_PLXNA4,580.0,628.0,22.0,641.0,673.0,20.0,consensus
SEMA3A to NRP2,612.0,662.0,21.0,604.0,642.0,19.0,consensus
SEMA3B to NRP1_PLXNA2,306.0,277.0,24.0,313.5,288.0,20.0,consensus
SEMA3B to NRP1_PLXNA4,492.0,518.0,21.0,639.0,670.0,19.0,consensus
SEMA3B to NRP2_PLXNA2,455.0,461.0,19.0,446.0,478.0,17.0,consensus
SEMA3B to NRP2_PLXNA4,791.5,769.0,16.0,721.0,721.0,14.0,consensus
SEMA3C to NRP1_NRP2_PLXND1,818.0,781.0,16.0,792.0,739.0,15.0,consensus
SEMA3C to NRP1_PLXNA2,181.0,171.0,25.0,170.0,156.0,21.0,consensus
SEMA3C to NRP1_PLXNA4,530.0,560.0,22.0,629.0,662.0,20.0,consensus
SEMA3C to NRP2_PLXNA2,422.0,414.0,20.0,491.5,530.0,18.0,consensus
SEMA3C to NRP2_PLXNA4,842.0,787.0,16.0,724.0,723.0,14.0,consensus
SEMA3E to NRP1,244.0,226.0,26.0,226.0,195.0,22.0,consensus
SEMA3E to NRP2,538.0,576.0,21.0,552.0,597.0,19.0,consensus
SEMA3E to PLXND1,707.0,737.0,19.0,691.0,707.0,17.0,consensus
SEMA3F to NRP1,541.0,577.0,17.0,686.0,705.0,15.0,consensus
SEMA3F to NRP2_PLXNA2,798.0,774.0,14.0,743.0,731.0,12.0,consensus
SEMA4A to NRP1_PLXNA2,264.0,239.0,25.0,267.0,238.0,21.0,consensus
SEMA4A to NRP1_PLXNA4,411.0,402.0,22.0,639.0,671.0,20.0,consensus
SEMA4A to PLXNB2,554.0,594.0,19.0,690.0,706.0,17.0,consensus
SEMA4A to PLXND1,639.0,693.0,19.0,696.0,710.0,17.0,consensus
SEMA4B to DCBLD2,325.0,296.0,25.0,376.0,376.0,21.0,consensus
SEMA4C to PLXNB2,674.0,721.0,16.0,695.0,708.0,14.0,consensus
SEMA4D to PLXNB2,588.0,634.0,18.0,699.0,712.0,17.0,consensus
SEMA6A to PLXNA2,495.0,520.0,23.0,646.0,675.0,20.0,consensus
SEMA6A to PLXNA4,654.0,706.0,21.0,727.0,724.0,19.0,consensus
SERPINA1 to LRP1,39.5,30.0,26.0,25.0,20.0,22.0,consensus
SERPINE1 to ITGB5,282.5,255.0,22.0,284.0,264.0,17.0,consensus
SERPINE1 to LRP1,123.5,115.0,22.0,160.0,146.0,17.0,consensus
SERPINE1 to PLAUR,240.0,221.0,22.0,274.0,251.0,17.0,consensus
SERPINE2 to LRP1,437.0,435.0,15.0,594.0,635.0,12.0,consensus
SERPINF1 to PLXDC1,533.5,567.0,14.0,650.0,680.0,12.0,consensus
SERPINF1 to PLXDC2,35.0,24.0,26.0,17.0,12.0,22.0,consensus
SERPING1 to LRP1,39.5,29.0,26.0,129.5,124.0,22.0,consensus
SERTAD1 to AR,616.0,667.0,22.0,718.0,719.0,20.0,consensus
SFTPD to LY96,454.0,457.0,23.0,637.5,669.0,20.0,consensus
SFTPD to SIRPA,437.0,434.0,23.0,563.0,606.0,19.0,consensus
SLC6A8 to LIFR,,,,869.0,749.0,11.0,consensus
SLIT2 to APP,97.0,79.0,26.0,91.0,77.0,22.0,consensus
SLIT2 to GPC1,490.0,516.0,20.0,631.0,664.0,17.0,consensus
SLIT2 to ROBO1,153.5,141.0,26.0,161.5,150.0,22.0,consensus
SLIT2 to ROBO2,60.5,45.0,26.0,91.5,78.0,22.0,consensus
SLIT3 to ROBO1,67.5,50.0,22.0,657.0,684.0,16.0,consensus
SLIT3 to ROBO2,20.0,10.0,22.0,658.0,687.0,16.0,consensus
SLITRK6 to PTPRS,643.0,695.0,24.0,729.5,727.0,20.0,consensus
SLPI to CD4,479.0,487.0,23.0,618.0,651.0,19.0,consensus
SLPI to PLSCR1,102.0,86.0,26.0,71.0,57.0,22.0,consensus
SLPI to PLSCR4,53.0,41.0,25.0,37.5,25.0,22.0,consensus
SORBS1 to ITGA1,156.0,144.0,26.0,230.0,201.0,21.0,consensus
SORBS1 to ITGB5,184.5,175.0,26.0,228.0,198.0,21.0,consensus
SPARC to ENG,211.0,198.0,25.0,263.0,236.0,20.0,consensus
SPARC to FGFR1,66.0,49.0,25.0,92.5,80.0,20.0,consensus
SPINK1 to EGFR,391.5,376.0,14.0,366.0,353.0,13.0,consensus
SPON1 to APP,530.0,561.0,19.0,670.5,694.0,16.0,consensus
SPON2 to ITGA5,281.0,253.0,24.0,244.5,218.0,20.0,consensus
SPON2 to ITGB1,148.5,137.0,26.0,129.0,123.0,22.0,consensus
SPP1 to CD44,226.0,210.0,19.0,207.0,181.0,17.0,consensus
SPP1 to ITGA5_ITGB1,416.0,405.0,18.0,413.5,431.0,16.0,consensus
SPP1 to ITGA8_ITGB1,342.0,315.0,17.0,293.0,274.0,15.0,consensus
SPP1 to ITGA9_ITGB1,441.0,441.0,19.0,673.0,697.0,17.0,consensus
SPP1 to ITGAV_ITGB1,312.0,283.0,19.0,282.0,260.0,17.0,consensus
SPP1 to ITGAV_ITGB5,332.0,305.0,19.0,329.0,308.0,17.0,consensus
SPP1 to PTGER4,,,,876.0,750.0,11.0,consensus
SPTAN1 to PTPRA,164.0,155.0,26.0,135.5,129.0,22.0,consensus
SPTBN2 to PTPRA,552.0,592.0,21.0,622.0,657.0,19.0,consensus
ST6GAL1 to EGFR,84.0,70.0,26.0,59.0,45.0,22.0,consensus
TCTN1 to TMEM67,825.0,784.0,16.0,811.5,741.0,14.0,consensus
TFF3 to ACKR3,203.0,187.0,24.0,161.0,149.0,21.0,consensus
TFPI to F3,155.0,143.0,26.0,226.5,196.0,22.0,consensus
TFPI to LRP1,108.5,92.0,26.0,160.0,147.0,22.0,consensus
TFPI to SDC4,497.0,524.0,23.0,643.0,674.0,19.0,consensus
TGFA to ERBB4,485.0,509.0,20.0,728.5,726.0,18.0,consensus
TGFA to PTPRD,399.5,386.0,24.0,456.0,500.0,21.0,consensus
TGFB1 to ACVR1B_TGFBR2,386.0,369.0,24.0,662.0,689.0,21.0,consensus
TGFB1 to ACVR1_TGFBR1_TGFBR2,466.0,475.0,23.0,669.5,693.0,20.0,consensus
TGFB1 to ACVR1_TGFBR2,465.0,473.0,23.0,670.5,695.0,20.0,consensus
TGFB1 to ACVRL1,372.0,352.0,23.0,411.0,424.0,20.0,consensus
TGFB1 to CAV1,214.5,205.0,26.0,184.0,173.0,22.0,consensus
TGFB1 to EGFR,173.0,162.0,26.0,122.5,116.0,22.0,consensus
TGFB1 to ENG,284.0,258.0,26.0,244.5,219.0,22.0,consensus
TGFB1 to ITGB1,206.5,194.0,26.0,176.5,161.0,22.0,consensus
TGFB1 to ITGB5,253.5,235.0,26.0,229.5,200.0,22.0,consensus
TGFB1 to ITGB8,387.0,370.0,24.0,505.5,546.0,20.0,consensus
TGFB1 to LPP,100.0,82.0,26.0,78.5,62.0,22.0,consensus
TGFB1 to SDC2,180.5,168.0,26.0,162.5,152.0,22.0,consensus
TGFB1 to TGFBR1_TGFBR2,355.0,330.0,26.0,328.0,306.0,22.0,consensus
TGFB1 to TGFBR3,145.0,134.0,26.0,113.5,107.0,22.0,consensus
TGFB1 to VASN,326.0,298.0,26.0,263.5,237.0,22.0,consensus
TGFB2 to ACVR1B_TGFBR2,436.0,432.0,24.0,658.0,688.0,20.0,consensus
TGFB2 to ACVR1_TGFBR1_TGFBR2,505.0,536.0,23.0,679.0,700.0,19.0,consensus
TGFB2 to ACVR1_TGFBR2,485.0,508.0,23.0,680.0,701.0,19.0,consensus
TGFB2 to ENG,275.5,249.0,26.0,230.0,202.0,21.0,consensus
TGFB2 to TGFBR1_TGFBR2,373.0,354.0,26.0,359.0,343.0,21.0,consensus
TGFB2 to TGFBR3,118.0,109.0,26.0,103.0,93.0,21.0,consensus
TGM2 to ITGA9,388.0,373.0,24.0,498.0,535.0,20.0,consensus
TGM2 to ITGB1,153.5,142.0,24.0,190.5,175.0,20.0,consensus
TGM2 to SDC4,491.0,517.0,21.0,650.0,681.0,17.0,consensus
TGS1 to RXRA,566.0,612.0,18.0,702.0,713.0,15.0,consensus
THBS1 to CD47,252.5,232.0,26.0,244.0,216.0,22.0,consensus
THBS1 to LRP1,114.0,100.0,26.0,129.5,125.0,22.0,consensus
THBS1 to LRP5,639.0,692.0,18.0,753.0,732.0,15.0,consensus
THBS1 to PTPRJ,285.0,259.0,25.0,367.0,355.0,21.0,consensus
THBS1 to SDC4,517.0,555.0,23.0,657.0,685.0,19.0,consensus
TIMP1 to CD63,2.0,1.0,26.0,12.5,7.0,22.0,consensus
TIMP2 to CD44,80.5,64.0,26.0,113.0,106.0,21.0,consensus
TIMP2 to ITGB1,170.0,161.0,26.0,178.0,166.0,21.0,consensus
TIMP3 to CD44,22.5,16.0,26.0,88.5,74.0,22.0,consensus
TLN1 to ITGB5,192.5,181.0,26.0,231.0,203.0,22.0,consensus
TNC to CNTN1,795.0,773.0,13.0,904.0,753.0,11.0,consensus
TNC to EGFR,114.5,101.0,26.0,79.5,63.0,20.0,consensus
TNC to ITGA2,646.0,700.0,21.0,678.0,699.0,16.0,consensus
TNC to ITGA5,328.5,302.0,24.0,248.5,222.0,18.0,consensus
TNC to ITGA8_ITGB1,173.0,163.0,23.0,142.0,133.0,17.0,consensus
TNC to ITGA9_ITGB1,321.5,293.0,26.0,271.0,249.0,20.0,consensus
TNC to SDC4,502.0,531.0,23.0,662.0,690.0,17.0,consensus
TNFSF10 to RIPK1,441.5,442.0,26.0,516.5,558.0,22.0,consensus
TNFSF10 to TNFRSF10B,305.0,274.0,26.0,314.0,289.0,22.0,consensus
TNFSF10 to TNFRSF10D,574.0,623.0,17.0,770.5,735.0,16.0,consensus
TNFSF12 to TNFRSF12A,623.0,673.0,13.0,,,,consensus
TNFSF14 to LTBR,577.5,625.0,18.0,773.0,736.0,16.0,consensus
TNFSF14 to TNFRSF14,733.0,745.0,13.0,885.5,751.0,12.0,consensus
TNXB to ITGA8_ITGB1,394.0,377.0,23.0,363.0,349.0,19.0,consensus
