pair,n_donors,median_rank,ligand,receptor,overall_rank,resource
ADAM15 to ITGB1,26,240.5,ADAM15,ITGB1,228,italk
NRG1 to ERBB4,21,241.0,NRG1,ERBB4,229,italk
FBN1 to ITGAV,19,242.0,FBN1,ITGAV,230,italk
COL5A1 to ITGA1,18,243.0,COL5A1,ITGA1,231,italk
FBN1 to ITGB1,19,245.0,FBN1,ITGB1,232,italk
PLAU to IGF2R,24,245.5,PLAU,IGF2R,233,italk
VCAN to ITGB1,19,246.0,VCAN,ITGB1,234,italk
CGN to TGFBR1,26,246.0,CGN,TGFBR1,235,italk
COL14A1 to CD44,21,250.0,COL14A1,CD44,236,italk
CALM3 to INSR,26,250.5,CALM3,INSR,237,italk
TGFB2 to TGFBR1,26,251.0,TGFB2,TGFBR1,238,italk
BMP2 to BMPR2,26,251.5,BMP2,BMPR2,239,italk
OLFM2 to ROBO2,21,253.0,OLFM2,ROBO2,240,italk
VEGFA to ITGA9,25,253.0,VEGFA,ITGA9,241,italk
TNC to ITGA5,24,253.5,TNC,ITGA5,242,italk
TNC to ITGA9,26,254.0,TNC,ITGA9,243,italk
GNAI2 to EDNRA,23,254.0,GNAI2,EDNRA,244,italk
ADAM10 to EPHA3,22,254.0,ADAM10,EPHA3,245,italk
ADAM17 to ERBB4,21,255.0,ADAM17,ERBB4,246,italk
VEGFB to NRP1,25,255.0,VEGFB,NRP1,247,italk
GPC3 to IGF1R,26,257.5,GPC3,IGF1R,248,italk
LTBP3 to ITGB5,26,258.0,LTBP3,ITGB5,249,italk
TGFB1 to TGFBR1,26,258.0,TGFB1,TGFBR1,250,italk
APOE to LDLR,23,260.0,APOE,LDLR,251,italk
GPC3 to CD81,26,260.5,GPC3,CD81,252,italk
ICAM1 to CAV1,25,261.0,ICAM1,CAV1,253,italk
CD55 to ADGRE5,22,263.0,CD55,ADGRE5,254,italk
FN1 to NT5E,23,263.0,FN1,NT5E,255,italk
ICAM1 to EGFR,25,264.0,ICAM1,EGFR,256,italk
SEMA3A to PLXNA2,25,264.0,SEMA3A,PLXNA2,257,italk
COL1A1 to ITGA5,23,264.0,COL1A1,ITGA5,258,italk
TGFA to EGFR,24,264.5,TGFA,EGFR,259,italk
HRAS to CAV1,25,265.0,HRAS,CAV1,260,italk
CALM3 to PDE1A,23,265.0,CALM3,PDE1A,261,italk
EREG to EGFR,22,266.0,EREG,EGFR,262,italk
EDN1 to EDNRA,22,266.5,EDN1,EDNRA,263,italk
WNT5A to ROR1,15,267.0,WNT5A,ROR1,264,italk
HRAS to SDC2,25,267.0,HRAS,SDC2,265,italk
