"compartment","set","NGenes","Correlation","Direction","PValue","FDR","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","frozen_candidate","FDR_global","eligible","not_tested_reason"
"macrophages","GOBP_MONOCYTE_CHEMOTAXIS",39,0.0931549150613395,"Up",0.00607750609435507,0.311898165086564,12,9,19,14203,"voom_TMM",0.311898165086564,"GSE135893",TRUE,0.291653744849021,TRUE,""
"macrophages","GOBP_PROTON_TRANSMEMBRANE_TRANSPORT",98,0.0652892888091201,"Up",0.288353196816511,0.693935678285182,12,9,19,14203,"voom_TMM",0.693935678285182,"GSE135893",TRUE,0.713760647378235,TRUE,""
"macrophages","GOBP_CYTOCHROME_COMPLEX_ASSEMBLY",35,0.222699536614438,"Up",0.716956876544024,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.940704731361216,TRUE,""
"macrophages","GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION",160,0.0156341309015972,"Up",0.405832337256039,0.757456402695191,12,9,19,14203,"voom_TMM",0.757456402695191,"GSE135893",TRUE,0.798343359884228,TRUE,""
"macrophages","GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION",95,0.0468002430384652,"Up",0.602211074799715,0.877724624275323,12,9,19,14203,"voom_TMM",0.877724624275323,"GSE135893",TRUE,0.909371669445764,TRUE,""
"macrophages","GOBP_CHROMOSOME_LOCALIZATION",109,0.03830787355658,"Up",0.208655420283253,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
"macrophages","GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEPARATION",27,0.148477233718975,"Up",0.206877571163843,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
"macrophages","GOBP_ATP_METABOLIC_PROCESS",166,0.0455368634534294,"Up",0.189967102529952,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
"macrophages","GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",17,0.239158722258614,"Up",0.901361956785911,0.955443674193066,12,9,19,14203,"voom_TMM",0.955443674193066,"GSE135893",TRUE,1,TRUE,""
"macrophages","GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS",211,0.0702433992938004,"Up",0.702528024017261,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.940704731361216,TRUE,""
"macrophages","GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION",87,0.0520853450013866,"Up",0.531746306202048,0.84390465348689,12,9,19,14203,"voom_TMM",0.84390465348689,"GSE135893",TRUE,0.879782491609893,TRUE,""
"macrophages","GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION",15,0.0938591660097928,"Up",0.212664613453688,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
"macrophages","GOBP_REGULATION_OF_SPINDLE_CHECKPOINT",20,0.117898742480691,"Up",0.965488641617163,0.980527464784989,12,9,19,14203,"voom_TMM",0.980527464784989,"GSE135893",TRUE,1,TRUE,""
"macrophages","GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE",53,0.0422508458325243,"Up",0.0424770856438656,0.39008627321378,12,9,19,14203,"voom_TMM",0.39008627321378,"GSE135893",TRUE,0.392100330577273,TRUE,""
"macrophages","GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS",17,0.100676386417465,"Up",0.00314229497255607,0.311898165086564,12,9,19,14203,"voom_TMM",0.311898165086564,"GSE135893",TRUE,0.291653744849021,TRUE,""
"macrophages","GOBP_RIBOSOME_ASSEMBLY",54,0.136624445880314,"Down",0.744361185312769,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.943148205097784,TRUE,""
"macrophages","GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS",266,0.081157964751857,"Up",0.876589186349817,0.933853806563624,12,9,19,14203,"voom_TMM",0.933853806563624,"GSE135893",TRUE,0.980853098382615,TRUE,""
"macrophages","GOBP_RRNA_METABOLIC_PROCESS",239,0.0622786877408912,"Up",0.714928182487348,0.90217804065445,12,9,19,14203,"voom_TMM",0.90217804065445,"GSE135893",TRUE,0.940704731361216,TRUE,""
"macrophages","GOBP_MITOTIC_CYTOKINETIC_PROCESS",31,0.0305656656220606,"Up",0.190597414314965,0.648542867427184,12,9,19,14203,"voom_TMM",0.648542867427184,"GSE135893",TRUE,0.6460680377444,TRUE,""
