"NGenes","Correlation","Direction","PValue","FDR","set","n_first","n_second","residual_df","genes_tested","method","FDR_family","cohort","compartment","label","FDR_exploratory_subtype_family"
189,0.0973607047671891,"Up",0.0386001119190843,0.0857780264868539,"GOBP_ATP_METABOLIC_PROCESS",32,27,57,23065,"voom_TMM",0.0857780264868539,"GSE136831","macrophages","Macrophage",0.0845611754134358
19,0.395167886849142,"Up",0.173984293328332,0.188554406562724,"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",32,27,57,23065,"voom_TMM",0.188554406562724,"GSE136831","macrophages","Macrophage",0.194647511063288
250,0.0796443234041463,"Up",0.0270807221173238,0.0813922017114734,"GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS",32,27,57,23065,"voom_TMM",0.0813922017114734,"GSE136831","macrophages","Macrophage",0.076235820750775
89,0.0449062335666204,"Up",0.0359289362582393,0.0840889997533259,"GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION",32,27,57,23065,"voom_TMM",0.0840889997533259,"GSE136831","macrophages","Macrophage",0.0809690381704818
15,0.0959697476391668,"Up",0.0073918903292836,0.0662221000000908,"GOBP_DNA_STRAND_ELONGATION_INVOLVED_IN_DNA_REPLICATION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0497368620727511
22,0.0733057599814706,"Up",0.0063284289044526,0.0662221000000908,"GOBP_REGULATION_OF_SPINDLE_CHECKPOINT",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0465732814687059
68,0.0696176782624708,"Up",0.257805673215889,0.261369806946984,"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE",32,27,57,23065,"voom_TMM",0.261369806946984,"GSE136831","macrophages","Macrophage",0.268642637355495
18,0.0667706831544256,"Up",0.0177447029320375,0.0791151788157539,"GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS",32,27,57,23065,"voom_TMM",0.0791151788157539,"GSE136831","macrophages","Macrophage",0.0666570360918196
58,0.372656880032624,"Up",0.220012925132362,0.228315299665659,"GOBP_RIBOSOME_ASSEMBLY",32,27,57,23065,"voom_TMM",0.228315299665659,"GSE136831","macrophages","Macrophage",0.236589241409458
303,0.100600792244701,"Up",0.0706642719541252,0.108500721890467,"GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS",32,27,57,23065,"voom_TMM",0.108500721890467,"GSE136831","macrophages","Macrophage",0.113790798548978
246,0.223588542804721,"Up",0.119260361796708,0.147103376925751,"GOBP_RRNA_METABOLIC_PROCESS",32,27,57,23065,"voom_TMM",0.147103376925751,"GSE136831","macrophages","Macrophage",0.14899636712533
28,0.118071761013862,"Up",0.0204108740430711,0.0813922017114734,"GOBP_MITOTIC_CYTOKINETIC_PROCESS",32,27,57,23065,"voom_TMM",0.0813922017114734,"GSE136831","macrophages","Macrophage",0.0696219205555732
21,0.0565824998395264,"Up",0.00274558476863822,0.0560009918337446,"GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE",32,27,57,23065,"voom_TMM",0.0560009918337446,"GSE136831","macrophages","Macrophage",0.0401988235567854
33,0.327496592253582,"Up",0.122562299610111,0.147547448863215,"GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE",32,27,57,23065,"voom_TMM",0.147547448863215,"GSE136831","macrophages","Macrophage",0.150932319723085
47,0.0414912952122306,"Up",0.0111373531818335,0.0662221000000908,"GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0529931185547245
138,0.0305290241514475,"Up",0.00953633489368914,0.0662221000000908,"GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0519361422730881
450,0.202536902000719,"Up",0.153782976533087,0.170869973925652,"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",32,27,57,23065,"voom_TMM",0.170869973925652,"GSE136831","macrophages","Macrophage",0.176662882797766
17,0.0694670179753271,"Up",0.00557814833423539,0.0662221000000908,"GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION",32,27,57,23065,"voom_TMM",0.0662221000000908,"GSE136831","macrophages","Macrophage",0.0450956334752801
