patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
24,AAH,Myofibroblasts,fibroblasts,subtype,2,10144,GSM9237971,1,0.2,largest_library,unc20_largest_library_2132
24,AAH,Peribronchial fibroblasts,fibroblasts,subtype,1,1001,GSM9237971,1,0.2,largest_library,unc20_largest_library_2135
24,LUAD,AT2,AT2,subtype,7302,101923749,GSM9237972,1,0.2,largest_library,unc20_largest_library_2144
24,LUAD,AT2 proliferating,AT2,subtype,98,3922271,GSM9237972,1,0.2,largest_library,unc20_largest_library_2145
24,LUAD,Adventitial fibroblasts,fibroblasts,subtype,6,15764,GSM9237972,1,0.2,largest_library,unc20_largest_library_2146
24,LUAD,Alveolar fibroblasts,fibroblasts,subtype,1656,13060965,GSM9237972,1,0.2,largest_library,unc20_largest_library_2147
24,LUAD,Alveolar macrophages,macrophages,subtype,888,17919821,GSM9237972,1,0.2,largest_library,unc20_largest_library_2148
24,LUAD,Interstitial Mph perivascular,macrophages,subtype,8,16666,GSM9237972,1,0.2,largest_library,unc20_largest_library_2161
24,LUAD,Monocyte-derived Mph,macrophages,subtype,45,371174,GSM9237972,1,0.2,largest_library,unc20_largest_library_2166
24,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,872,8749565,GSM9237972,1,0.2,largest_library,unc20_largest_library_2170
24,normal,AT2,AT2,subtype,1718,25405554,GSM9237970,1,0.2,largest_library,unc20_largest_library_2178
24,normal,Adventitial fibroblasts,fibroblasts,subtype,21,146811,GSM9237970,1,0.2,largest_library,unc20_largest_library_2179
24,normal,Alveolar fibroblasts,fibroblasts,subtype,489,2076677,GSM9237970,1,0.2,largest_library,unc20_largest_library_2180
24,normal,Alveolar macrophages,macrophages,subtype,15,451930,GSM9237970,1,0.2,largest_library,unc20_largest_library_2181
24,normal,Interstitial Mph perivascular,macrophages,subtype,17,54942,GSM9237970,1,0.2,largest_library,unc20_largest_library_2193
24,normal,Monocyte-derived Mph,macrophages,subtype,32,163394,GSM9237970,1,0.2,largest_library,unc20_largest_library_2198
24,normal,Myofibroblasts,fibroblasts,subtype,2,6661,GSM9237970,1,0.2,largest_library,unc20_largest_library_2200
24,normal,Peribronchial fibroblasts,fibroblasts,subtype,3,11983,GSM9237970,1,0.2,largest_library,unc20_largest_library_2203
25,AAH,AT2,AT2,subtype,428,1735458,GSM9237974,1,0.2,largest_library,unc20_largest_library_2210
25,AAH,Adventitial fibroblasts,fibroblasts,subtype,1,2746,GSM9237974,1,0.2,largest_library,unc20_largest_library_2211
25,AAH,Alveolar fibroblasts,fibroblasts,subtype,439,943532,GSM9237974,1,0.2,largest_library,unc20_largest_library_2212
25,AAH,Alveolar macrophages,macrophages,subtype,32,138332,GSM9237974,1,0.2,largest_library,unc20_largest_library_2213
25,AAH,Interstitial Mph perivascular,macrophages,subtype,10,21043,GSM9237974,1,0.2,largest_library,unc20_largest_library_2224
25,AAH,Monocyte-derived Mph,macrophages,subtype,17,117662,GSM9237974,1,0.2,largest_library,unc20_largest_library_2228
25,AAH,Myofibroblasts,fibroblasts,subtype,1,1987,GSM9237974,1,0.2,largest_library,unc20_largest_library_2230
25,AAH,Peribronchial fibroblasts,fibroblasts,subtype,7,36817,GSM9237974,1,0.2,largest_library,unc20_largest_library_2233
25,LUAD,AT2,AT2,subtype,366,1591110,GSM9237975,1,0.2,largest_library,unc20_largest_library_2239
25,LUAD,AT2 proliferating,AT2,subtype,1,3389,GSM9237975,1,0.2,largest_library,unc20_largest_library_2240
25,LUAD,Adventitial fibroblasts,fibroblasts,subtype,3,4374,GSM9237975,1,0.2,largest_library,unc20_largest_library_2241
25,LUAD,Alveolar Mph proliferating,macrophages,subtype,2,31450,GSM9237975,1,0.2,largest_library,unc20_largest_library_2242
25,LUAD,Alveolar fibroblasts,fibroblasts,subtype,306,930531,GSM9237975,1,0.2,largest_library,unc20_largest_library_2243
25,LUAD,Alveolar macrophages,macrophages,subtype,112,671628,GSM9237975,1,0.2,largest_library,unc20_largest_library_2244
25,LUAD,Interstitial Mph perivascular,macrophages,subtype,11,21307,GSM9237975,1,0.2,largest_library,unc20_largest_library_2258
25,LUAD,Monocyte-derived Mph,macrophages,subtype,86,285614,GSM9237975,1,0.2,largest_library,unc20_largest_library_2264
25,LUAD,Myofibroblasts,fibroblasts,subtype,6,9876,GSM9237975,1,0.2,largest_library,unc20_largest_library_2266
25,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,910,3244597,GSM9237975,1,0.2,largest_library,unc20_largest_library_2269
25,normal,AT2,AT2,subtype,1259,5738568,GSM9237973,1,0.2,largest_library,unc20_largest_library_2278
25,normal,Adventitial fibroblasts,fibroblasts,subtype,26,47581,GSM9237973,1,0.2,largest_library,unc20_largest_library_2279
25,normal,Alveolar fibroblasts,fibroblasts,subtype,1174,2451899,GSM9237973,1,0.2,largest_library,unc20_largest_library_2280
25,normal,Alveolar macrophages,macrophages,subtype,39,261637,GSM9237973,1,0.2,largest_library,unc20_largest_library_2281
25,normal,Interstitial Mph perivascular,macrophages,subtype,19,37125,GSM9237973,1,0.2,largest_library,unc20_largest_library_2296
25,normal,Monocyte-derived Mph,macrophages,subtype,57,301131,GSM9237973,1,0.2,largest_library,unc20_largest_library_2301
25,normal,Myofibroblasts,fibroblasts,subtype,12,21033,GSM9237973,1,0.2,largest_library,unc20_largest_library_2303
25,normal,Peribronchial fibroblasts,fibroblasts,subtype,7,30849,GSM9237973,1,0.2,largest_library,unc20_largest_library_2307
3,AIS,__broad__,AT2,broad,673,1491795,GSM9237902,1,0.2,largest_library,unc20_largest_library_2315
3,AIS,__broad__,fibroblasts,broad,123,188474,GSM9237902,1,0.2,largest_library,unc20_largest_library_2316
3,AIS,__broad__,macrophages,broad,31,76794,GSM9237902,1,0.2,largest_library,unc20_largest_library_2317
3,LUAD,__broad__,AT2,broad,310,934100,GSM9237903,1,0.2,largest_library,unc20_largest_library_2318
3,LUAD,__broad__,fibroblasts,broad,80,127291,GSM9237903,1,0.2,largest_library,unc20_largest_library_2319
3,LUAD,__broad__,macrophages,broad,23,57365,GSM9237903,1,0.2,largest_library,unc20_largest_library_2320
3,normal,__broad__,AT2,broad,165,288778,GSM9237901,1,0.2,largest_library,unc20_largest_library_2321
3,normal,__broad__,fibroblasts,broad,117,173293,GSM9237901,1,0.2,largest_library,unc20_largest_library_2322
3,normal,__broad__,macrophages,broad,23,54811,GSM9237901,1,0.2,largest_library,unc20_largest_library_2323
4,AAH,__broad__,AT2,broad,2402,9471960,GSM9237907,1,0.2,largest_library,unc20_largest_library_2324
4,AAH,__broad__,fibroblasts,broad,954,1914609,GSM9237907,1,0.2,largest_library,unc20_largest_library_2325
4,AAH,__broad__,macrophages,broad,397,3719065,GSM9237907,1,0.2,largest_library,unc20_largest_library_2326
4,LUAD,__broad__,AT2,broad,5096,26249048,GSM9237908,1,0.2,largest_library,unc20_largest_library_2327
4,LUAD,__broad__,fibroblasts,broad,2912,8310393,GSM9237908,1,0.2,largest_library,unc20_largest_library_2328
4,LUAD,__broad__,macrophages,broad,1151,13987590,GSM9237908,1,0.2,largest_library,unc20_largest_library_2329
4,normal,__broad__,AT2,broad,4528,20598810,GSM9237904,1,0.2,largest_library,unc20_largest_library_2330
4,normal,__broad__,fibroblasts,broad,2387,6312772,GSM9237904,1,0.2,largest_library,unc20_largest_library_2331
4,normal,__broad__,macrophages,broad,1453,17152537,GSM9237904,1,0.2,largest_library,unc20_largest_library_2332
5,AIS,__broad__,AT2,broad,224,869513,GSM9237910,1,0.2,largest_library,unc20_largest_library_2333
5,AIS,__broad__,fibroblasts,broad,234,401192,GSM9237910,1,0.2,largest_library,unc20_largest_library_2334
5,AIS,__broad__,macrophages,broad,45,278628,GSM9237910,1,0.2,largest_library,unc20_largest_library_2335
5,LUAD,__broad__,AT2,broad,1096,5005180,GSM9237911,1,0.2,largest_library,unc20_largest_library_2336
5,LUAD,__broad__,fibroblasts,broad,574,1928366,GSM9237911,1,0.2,largest_library,unc20_largest_library_2337
5,LUAD,__broad__,macrophages,broad,340,1845806,GSM9237911,1,0.2,largest_library,unc20_largest_library_2338
5,normal,__broad__,AT2,broad,1727,6111600,GSM9237909,1,0.2,largest_library,unc20_largest_library_2339
5,normal,__broad__,fibroblasts,broad,2919,6447009,GSM9237909,1,0.2,largest_library,unc20_largest_library_2340
5,normal,__broad__,macrophages,broad,469,4296699,GSM9237909,1,0.2,largest_library,unc20_largest_library_2341
6,AAH,__broad__,AT2,broad,414,1136231,GSM9237913,1,0.2,largest_library,unc20_largest_library_2342
6,AAH,__broad__,fibroblasts,broad,282,609112,GSM9237913,1,0.2,largest_library,unc20_largest_library_2343
6,AAH,__broad__,macrophages,broad,86,665435,GSM9237913,1,0.2,largest_library,unc20_largest_library_2344
6,LUAD,__broad__,AT2,broad,477,2076289,GSM9237914,1,0.2,largest_library,unc20_largest_library_2345
6,LUAD,__broad__,fibroblasts,broad,346,907293,GSM9237914,1,0.2,largest_library,unc20_largest_library_2346
6,LUAD,__broad__,macrophages,broad,259,2207408,GSM9237914,1,0.2,largest_library,unc20_largest_library_2347
6,normal,__broad__,AT2,broad,142,421410,GSM9237912,1,0.2,largest_library,unc20_largest_library_2348
6,normal,__broad__,fibroblasts,broad,136,294656,GSM9237912,1,0.2,largest_library,unc20_largest_library_2349
6,normal,__broad__,macrophages,broad,94,770519,GSM9237912,1,0.2,largest_library,unc20_largest_library_2350
7,LUAD,__broad__,AT2,broad,553,1617582,GSM9237917,1,0.2,largest_library,unc20_largest_library_2351
7,LUAD,__broad__,fibroblasts,broad,636,1297104,GSM9237917,1,0.2,largest_library,unc20_largest_library_2352
7,LUAD,__broad__,macrophages,broad,228,1780347,GSM9237917,1,0.2,largest_library,unc20_largest_library_2353
7,normal,__broad__,AT2,broad,1385,2781786,GSM9237915,1,0.2,largest_library,unc20_largest_library_2354
7,normal,__broad__,fibroblasts,broad,809,1190408,GSM9237915,1,0.2,largest_library,unc20_largest_library_2355
7,normal,__broad__,macrophages,broad,82,469398,GSM9237915,1,0.2,largest_library,unc20_largest_library_2356
8,AIS,__broad__,AT2,broad,73,169136,GSM9237919,1,0.2,largest_library,unc20_largest_library_2357
8,AIS,__broad__,fibroblasts,broad,22,32216,GSM9237919,1,0.2,largest_library,unc20_largest_library_2358
8,AIS,__broad__,macrophages,broad,5,15045,GSM9237919,1,0.2,largest_library,unc20_largest_library_2359
8,LUAD,__broad__,AT2,broad,292,467337,GSM9237920,1,0.2,largest_library,unc20_largest_library_2360
8,LUAD,__broad__,fibroblasts,broad,117,246565,GSM9237920,1,0.2,largest_library,unc20_largest_library_2361
8,LUAD,__broad__,macrophages,broad,105,255307,GSM9237920,1,0.2,largest_library,unc20_largest_library_2362
8,normal,__broad__,AT2,broad,211,292790,GSM9237918,1,0.2,largest_library,unc20_largest_library_2363
8,normal,__broad__,fibroblasts,broad,22,42460,GSM9237918,1,0.2,largest_library,unc20_largest_library_2364
8,normal,__broad__,macrophages,broad,2,2780,GSM9237918,1,0.2,largest_library,unc20_largest_library_2365
9,AAH,__broad__,AT2,broad,220,690945,GSM9237922,1,0.2,largest_library,unc20_largest_library_2366
9,AAH,__broad__,fibroblasts,broad,139,259773,GSM9237922,1,0.2,largest_library,unc20_largest_library_2367
9,AAH,__broad__,macrophages,broad,60,637038,GSM9237922,1,0.2,largest_library,unc20_largest_library_2368
9,AIS,__broad__,AT2,broad,658,2213908,GSM9237923,1,0.2,largest_library,unc20_largest_library_2369
9,AIS,__broad__,fibroblasts,broad,466,902627,GSM9237923,1,0.2,largest_library,unc20_largest_library_2370
9,AIS,__broad__,macrophages,broad,55,378008,GSM9237923,1,0.2,largest_library,unc20_largest_library_2371
9,LUAD,__broad__,AT2,broad,677,1942718,GSM9237924,1,0.2,largest_library,unc20_largest_library_2372
9,LUAD,__broad__,fibroblasts,broad,356,643949,GSM9237924,1,0.2,largest_library,unc20_largest_library_2373
