patient,histology,broad,cells,median_library_size,median_detected_genes,median_mito_percent,median_uncertainty
15,LUAD,Macrophages,124,3433.5,1836.5,0.4372422959449367,0.11991170750085375
15,LUAD,Other assigned,535,1417.0,989.0,0.3752345215759849,0.0199965769341248
15,LUAD,Other epithelial,754,1964.0,1350.0,0.2438462297250675,0.02000200685572285
15,LUAD,Other myeloid,62,1294.0,986.0,0.6946864918981053,1.6653345369377348e-16
15,LUAD,Unassigned,2559,2222.0,1482.0,0.4873702966146106,0.4400083217366501
15,MIA,AT2-like,379,2918.0,1605.0,0.5592025285679553,1.1102230246251563e-16
15,MIA,Fibroblasts,527,1502.0,1094.0,0.2182453077258838,4.440892098500626e-16
15,MIA,Macrophages,115,6645.0,2925.0,0.719762165545298,0.0399882241875639
15,MIA,Other assigned,574,1353.0,1025.0,0.4432966730642002,0.039996938243230654
15,MIA,Other epithelial,495,2212.0,1517.0,0.3059663437021928,1.1102230246251563e-16
15,MIA,Other myeloid,57,1307.0,983.0,0.7263922518159807,1.1102230246251563e-16
15,MIA,Unassigned,1223,1545.0,1141.0,0.5534488059854463,0.4000157309789167
15,normal,AT2-like,177,2404.0,1413.0,0.3026634382566586,0.0
15,normal,Fibroblasts,213,1351.0,989.0,0.0648508430609598,0.0200014959271872
15,normal,Macrophages,39,6103.0,2814.0,0.4341785342132685,0.0399932243003394
15,normal,Other assigned,126,1211.5,922.5,0.17675655241148108,0.04998186744467265
15,normal,Other epithelial,258,1938.5,1339.5,0.10500779164760515,1.1102230246251563e-16
15,normal,Other myeloid,14,1840.0,1178.5,0.8776672766820095,0.010004945451650772
15,normal,Unassigned,396,1395.0,1024.5,0.1500396203648675,0.41997128343434187
16,AIS,AT2-like,424,2406.5,1358.5,0.36162766923753376,1.1102230246251563e-16
16,AIS,Fibroblasts,457,1261.0,911.0,0.0,0.0400007336049175
16,AIS,Macrophages,46,4742.0,2362.0,0.4262522636444659,0.09998752913473705
16,AIS,Other assigned,260,1195.5,890.0,0.10725572993991615,0.05997640667215765
16,AIS,Other epithelial,490,1548.0,1078.0,0.0652123067763815,1.1102230246251563e-16
16,AIS,Other myeloid,37,1128.0,848.0,0.2345582486317435,0.0798786874865601
16,AIS,Unassigned,801,1389.0,1017.0,0.0823045267489712,0.4200176768209978
16,LUAD,AT2-like,390,2447.5,1296.0,0.5201936303434382,1.1102230246251563e-16
16,LUAD,Fibroblasts,224,1337.5,890.5,0.1733908547034242,0.0399998760295098
16,LUAD,Macrophages,59,4087.0,1987.0,0.6060606060606061,0.1200811995227247
16,LUAD,Other assigned,288,1526.0,960.0,0.4384235546408326,3.3306690738754696e-16
16,LUAD,Other epithelial,479,1954.0,1271.0,0.4807692307692308,0.0199626775056062
16,LUAD,Other myeloid,29,1428.0,973.0,0.5398920215956808,2.220446049250313e-16
16,LUAD,Unassigned,958,1814.5,1211.0,0.5942654575234837,0.41990188235634995
16,normal,AT2-like,222,2625.5,1335.5,0.571809824687856,0.0
16,normal,Fibroblasts,197,1381.0,951.0,0.0715819613457408,0.039979403054688
16,normal,Macrophages,40,4833.0,2336.5,0.4687104160294613,0.099985066699479
16,normal,Other assigned,148,1249.0,911.5,0.198708444467258,0.04997848512684505
16,normal,Other epithelial,240,1719.0,1140.5,0.08756896439347756,1.1102230246251563e-16
16,normal,Other myeloid,25,1446.0,1055.0,0.6527415143603134,0.0199887681724912
16,normal,Unassigned,440,1490.0,1043.0,0.20022799897371302,0.4398800427650639
17,AIS,AT2-like,1781,3592.0,1941.0,0.6384676775738228,2.220446049250313e-16
17,AIS,Fibroblasts,1141,1709.0,1226.0,0.2973661852166525,4.440892098500626e-16
17,AIS,Macrophages,224,3313.0,1907.0,0.7206951463666843,0.1197349544654029
17,AIS,Other assigned,1404,1447.5,1024.0,0.5330536756705251,0.01999742456321325
17,AIS,Other epithelial,1138,2196.5,1510.0,0.3831417624521073,1.1102230246251563e-16
17,AIS,Other myeloid,222,1486.5,1088.0,1.3567153276241402,2.220446049250313e-16
17,AIS,Unassigned,3096,1842.5,1285.5,0.7610144112310946,0.4000481806642746
17,LUAD,AT2-like,357,2306.0,1444.0,2.063789868667917,0.0600185065285613
17,LUAD,Fibroblasts,837,1756.0,1166.0,0.62708210856359,0.0400176198020246
17,LUAD,Macrophages,279,2048.0,1257.0,1.4514896867838043,0.1000595051402104
17,LUAD,Other assigned,1569,1862.0,1011.0,0.851063829787234,3.3306690738754696e-16
17,LUAD,Other epithelial,389,2481.0,1514.0,0.8865627002777184,4.440892098500626e-16
17,LUAD,Other myeloid,199,1460.0,1042.0,1.945181255526083,1.1102230246251563e-16
17,LUAD,Unassigned,5053,2047.0,1336.0,1.5554115359688918,0.4399975372088187
17,normal,AT2-like,1156,3158.5,1738.0,0.6385016783856106,1.1102230246251563e-16
17,normal,Fibroblasts,1221,1669.0,1203.0,0.3632589517384536,0.0199915125138265
17,normal,Macrophages,172,2438.5,1556.5,0.7782218992248062,0.11991492962303235
17,normal,Other assigned,974,1479.5,1035.0,0.6013509115398289,0.0399753914128168
