compartment,collection,set,size,discovery_nes,discovery_fdr,matched_p,held_out_nes,held_out_fdr,held_out_tested,replicates,proposed_status
macrophages,gobp,GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,71,2.401517823984139,0.00017233997094109204,0.0,1.7042170631172926,0.02623018452396853,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS,18,2.388414917231677,0.0002031149657520013,0.0,2.1304753426835865,0.0005194095945340303,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_RIBOSOME_ASSEMBLY,58,2.3809917096191264,0.00029932731795031777,0.0,-1.261288046731897,0.5592921058107795,True,False,Not established
macrophages,gobp,GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS,306,2.367193353690892,0.00035953683592882994,0.0,0.9180370127720419,0.6944606165380471,True,False,Not established
macrophages,gobp,GOBP_RRNA_METABOLIC_PROCESS,247,2.365157212885843,0.0003534429912520701,0.0,0.868678377358341,0.770013570929946,True,False,Not established
macrophages,gobp,GOBP_MITOTIC_CYTOKINETIC_PROCESS,28,2.3391917647039335,0.0005055305814272033,0.0,1.3299975936245532,0.17782021196768275,True,False,Not established
macrophages,gobp,GOBP_REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,21,2.3365772276647983,0.0004972431948464294,0.0,1.3560390345978315,0.16641431748353344,True,False,Not established
macrophages,gobp,GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,33,2.3198427038387868,0.0006421053756031009,0.0,1.2060774574978295,0.2588501323887364,True,False,Not established
macrophages,gobp,GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION,47,2.291633238965956,0.000962915393194673,0.002,1.7718544259689184,0.019548688376098952,True,True,Validated (held-out replication)
macrophages,gobp,GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING,138,2.2824381914893825,0.0010663535701980068,0.0,1.020471814801099,0.5046388841894688,True,False,Not established
macrophages,gobp,GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,451,2.265458466020943,0.0012249394857659157,0.0,0.9743163524352302,0.5872756521558468,True,False,Not established
